################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.2342513433880436E-02 a         1     0     1     1     1
 -8.2325922923201356E-01 a         2     0     1     1     2
  5.8347495620913037E-01 a         3     0     1     1     3
  7.5708513739105032E-01 a         4     0     1     1     4
 -9.0464671728304358E-01 a         5     0     1     1     5
  1.8769300530466304E-01 a         6     0     1     1     6
  7.0619643738153559E-01 a         7     0     1     1     7
 -4.8049128016878684E-01 a         8     0     1     1     8
 -9.8391107836235325E-01 a         9     0     1     1     9
  2.3732412800038405E-01 a        10     0     1     1    10
 -4.0470895252719985E-01 a        11     0     1     1    11
  2.5197636438500252E-02 a        12     0     1     1    12
 -9.7799372896633985E-01 a        13     0     1     1    13
  1.3375450091567520E+00 a        14     0     1     1    14
 -5.6110376347657775E-01 a        15     0     1     1    15
  1.0380866480345572E+00 a        16     0     2     1     1
  1.1093005338118059E-01 a        17     0     2     1     2
 -9.3801719823754526E-01 a        18     0     2     1     3
  6.8450798290739995E-02 a        19     0     2     1     4
  2.4390797474731027E-01 a        20     0     2     1     5
  1.0174008176100207E+00 a        21     0     2     1     6
 -6.1882754735449153E-01 a        22     0     2     1     7
 -2.4229638633703794E+00 a        23     0     2     1     8
 -3.0176677659191808E+00 a        24     0     2     1     9
  1.4865870200508275E+00 a        25     0     2     1    10
  1.1503044677887664E+00 a        26     0     2     1    11
  2.5112874385434553E-01 a        27     0     2     1    12
 -1.3088515745286806E+00 a        28     0     2     1    13
 -3.3207762136647306E-01 a        29     0     2     1    14
  5.6478313271294167E-01 a        30     0     2     1    15
  7.7053023877437699E-01 a        31     0     3     1     1
 -1.8338129041838672E-01 a        32     0     3     1     2
  7.5498030032334573E-02 a        33     0     3     1     3
 -9.5533082883881792E-01 a        34     0     3     1     4
 -1.1406843797710329E+00 a        35     0     3     1     5
 -8.2705632096751591E-01 a        36     0     3     1     6
 -4.4930952561126303E-01 a        37     0     3     1     7
  3.4983615624996284E-01 a        38     0     3     1     8
 -1.6612424564507830E-01 a        39     0     3     1     9
  7.3444879250297745E-01 a        40     0     3     1    10
 -2.6838059770828154E-01 a        41     0     3     1    11
 -5.3992024864156662E-01 a        42     0     3     1    12
  4.8701863032449394E-01 a        43     0     3     1    13
  7.3975432060421564E-01 a        44     0     3     1    14
  6.6124400270239955E-02 a        45     0     3     1    15
 -2.3313995846544372E-01 a        46     0     4     1     1
 -1.2950616138383070E-01 a        47     0     4     1     2
  9.1188016011119344E-01 a        48     0     4     1     3
  1.5026920708949665E-01 a        49     0     4     1     4
 -6.1976381333991704E-01 a        50     0     4     1     5
 -3.1003839396387356E+00 a        51     0     4     1     6
 -9.4003404589075090E-01 a        52     0     4     1     7
  2.3176758198640512E+00 a        53     0     4     1     8
  1.7844574981583483E+00 a        54     0     4     1     9
  5.3678333077966822E-01 a        55     0     4     1    10
  1.0078784865607506E+00 a        56     0     4     1    11
  1.1275158704979310E-01 a        57     0     4     1    12
 -3.6022303992646038E-01 a        58     0     4     1    13
  2.0387827788494093E+00 a        59     0     4     1    14
 -1.2692486499323736E+00 a        60     0     4     1    15
 -6.0080963318288605E-01 a        61     0     5     1     1
 -5.2680541906642375E-01 a        62     0     5     1     2
  4.0194387168078943E-01 a        63     0     5     1     3
  1.9091866589215159E-01 a        64     0     5     1     4
  8.4128443606407410E-01 a        65     0     5     1     5
  7.7328380269365538E-01 a        66     0     5     1     6
  2.1727415703908556E-01 a        67     0     5     1     7
  6.7280006988634322E-01 a        68     0     5     1     8
  1.1239856512032084E-01 a        69     0     5     1     9
 -7.1946412679150151E-04 a        70     0     5     1    10
 -1.4572433636336524E-01 a        71     0     5     1    11
  6.9239891528612951E-01 a        72     0     5     1    12
  9.7673252256253229E-02 a        73     0     5     1    13
  1.0646936206735129E+00 a        74     0     5     1    14
  1.2076557262350667E+00 a        75     0     5     1    15
 -1.0942794659349140E+00 a        76     0     6     1     1
 -7.7003727557934520E-01 a        77     0     6     1     2
  9.2602460773641893E-01 a        78     0     6     1     3
  6.0529130882918780E-01 a        79     0     6     1     4
 -2.9306962395866681E-01 a        80     0     6     1     5
 -1.5803803814240382E+00 a        81     0     6     1     6
 -8.2956236312647114E-01 a        82     0     6     1     7
  2.1865897677593478E+00 a        83     0     6     1     8
  2.1928026043060762E+00 a        84     0     6     1     9
 -5.7238714049036821E-01 a        85     0     6     1    10
  2.8473172867751712E-01 a        86     0     6     1    11
 -1.1088791181109291E-01 a        87     0     6     1    12
  1.5273694786269263E+00 a        88     0     6     1    13
  2.9208617867976154E+00 a        89     0     6     1    14
 -4.7688199717098501E-01 a        90     0     6     1    15
 -3.9330572726114416E-01 a        91     0     7     1     1
  2.2019822314104281E-01 a        92     0     7     1     2
 -5.3206711509171145E-01 a        93     0     7     1     3
  4.3695750416190693E-01 a        94     0     7     1     4
 -4.8317280538742036E-01 a        95     0     7     1     5
 -2.9973800475284496E-01 a        96     0     7     1     6
 -1.2356129214220706E+00 a        97     0     7     1     7
 -8.7164897918179929E-01 a        98     0     7     1     8
 -2.9110670182130954E-01 a        99     0     7     1     9
 -2.6618973716085637E-01 a       100     0     7     1    10
  4.0317495196974984E-01 a       101     0     7     1    11
 -1.5680813800785673E-01 a       102     0     7     1    12
  3.4851239389385025E-01 a       103     0     7     1    13
 -6.0547696292231634E-01 a       104     0     7     1    14
 -6.5235364278833663E-01 a       105     0     7     1    15
 -1.9991889848090549E-01 a       106     0     8     1     1
  1.2662193994018873E+00 a       107     0     8     1     2
  2.9432588667303139E-01 a       108     0     8     1     3
 -1.1747848572222437E+00 a       109     0     8     1     4
  1.7329582289088106E+00 a       110     0     8     1     5
  2.3516448381962705E+00 a       111     0     8     1     6
  2.6418079736895548E+00 a       112     0     8     1     7
 -3.1412733367151482E+00 a       113     0     8     1     8
 -2.1165137332350770E+00 a       114     0     8     1     9
 -4.0343390486283087E-01 a       115     0     8     1    10
 -1.3712281684123555E+00 a       116     0     8     1    11
 -9.5995279415638846E-01 a       117     0     8     1    12
 -2.8915764810766859E-01 a       118     0     8     1    13
  4.7495057375381672E-01 a       119     0     8     1    14
  1.1483022381153225E-01 a       120     0     8     1    15
  8.1094786822628173E-01 a       121     0     9     1     1
  3.2498790559343044E-02 a       122     0     9     1     2
 -7.9315726950423637E-01 a       123     0     9     1     3
  3.3007354147689634E-02 a       124     0     9     1     4
 -2.2317567824851856E-01 a       125     0     9     1     5
  7.9176989991542690E-01 a       126     0     9     1     6
  9.1533361327585128E-01 a       127     0     9     1     7
  4.1772673262372256E-01 a       128     0     9     1     8
  1.2207251723736297E+00 a       129     0     9     1     9
  5.5072348241154823E-01 a       130     0     9     1    10
 -1.2011770974541349E+00 a       131     0     9     1    11
 -5.0894747015921386E-03 a       132     0     9     1    12
  8.6349274744085081E-01 a       133     0     9     1    13
 -8.0685732505286700E-01 a       134     0     9     1    14
 -3.1071459068575225E-01 a       135     0     9     1    15
 -2.8321996623396423E-01 a       136     0    10     1     1
  1.9275448751758181E-01 a       137     0    10     1     2
 -6.2643901924790135E-01 a       138     0    10     1     3
  1.5161833380175891E+00 a       139     0    10     1     4
 -2.3951663199258686E+00 a       140     0    10     1     5
 -1.0328772428588762E-02 a       141     0    10     1     6
 -5.4138418608245651E+00 a       142     0    10     1     7
  1.8706042478135849E+00 a       143     0    10     1     8
  6.1845451506616234E-01 a       144     0    10     1     9
  2.2231318842791650E-01 a       145     0    10     1    10
 -5.0379978555994215E-02 a       146     0    10     1    11
 -7.1532633381979471E-01 a       147     0    10     1    12
  3.2715997257745538E-01 a       148     0    10     1    13
 -9.5825318315238794E-01 a       149     0    10     1    14
  2.5941888662468360E-01 a       150     0    10     1    15
 -5.6511468982244117E-01 a       151     0    11     1     1
  2.5742591476125376E-01 a       152     0    11     1     2
 -5.8488898130727185E-01 a       153     0    11     1     3
 -5.6067964884199784E-01 a       154     0    11     1     4
 -6.4910963599826704E-02 a       155     0    11     1     5
 -1.3511726716973349E-01 a       156     0    11     1     6
 -1.1306112050321220E+00 a       157     0    11     1     7
 -6.2233667762245461E-02 a       158     0    11     1     8
  3.3804154161624897E-02 a       159     0    11     1     9
  4.5958601365857166E-02 a       160     0    11     1    10
 -3.9453325229668318E-01 a       161     0    11     1    11
  2.6589593626193769E-01 a       162     0    11     1    12
 -1.1114481442999031E+00 a       163     0    11     1    13
 -9.9681735993934550E-01 a       164     0    11     1    14
 -7.6695228719720099E-01 a       165     0    11     1    15
  2.6563020462941611E-01 a       166     0    12     1     1
 -5.7155388550099406E-01 a       167     0    12     1     2
 -1.4066391686376636E+00 a       168     0    12     1     3
 -1.3848329691262700E+00 a       169     0    12     1     4
 -1.1922769048049844E+00 a       170     0    12     1     5
  1.6499993260649397E+00 a       171     0    12     1     6
  1.8005852151648014E+00 a       172     0    12     1     7
 -6.9767891798939963E-01 a       173     0    12     1     8
  1.8281154672829463E+00 a       174     0    12     1     9
  2.4374820264575184E-01 a       175     0    12     1    10
  2.3897412251045924E-01 a       176     0    12     1    11
  1.4752509819472805E+00 a       177     0    12     1    12
 -6.3850774428206136E-01 a       178     0    12     1    13
 -8.5499266984186584E-01 a       179     0    12     1    14
 -1.5310096389387360E+00 a       180     0    12     1    15
  4.4625035765376470E-01 a       181     0    13     1     1
 -3.6888514805246642E-01 a       182     0    13     1     2
 -7.6109674742017783E-02 a       183     0    13     1     3
  8.8709294413611958E-02 a       184     0    13     1     4
 -3.3697691808212948E-01 a       185     0    13     1     5
 -5.0714248849169175E-01 a       186     0    13     1     6
  2.9602803886347534E-01 a       187     0    13     1     7
  7.3156701870708010E-02 a       188     0    13     1     8
  3.5991837722012110E-01 a       189     0    13     1     9
  1.0725497848981254E-01 a       190     0    13     1    10
  1.0442998795826579E+00 a       191     0    13     1    11
  9.0603764416276975E-02 a       192     0    13     1    12
 -6.9546406695651972E-02 a       193     0    13     1    13
 -6.2120551723109407E-01 a       194     0    13     1    14
 -6.8461378876950152E-01 a       195     0    13     1    15
 -4.7454472972895329E-01 a       196     0    14     1     1
 -1.0223071454045000E-01 a       197     0    14     1     2
 -1.4052486861863100E-01 a       198     0    14     1     3
  8.2945204868376121E-01 a       199     0    14     1     4
  1.1144100789624773E+00 a       200     0    14     1     5
 -1.2368772535212285E+00 a       201     0    14     1     6
  6.6348616373959524E-01 a       202     0    14     1     7
  1.6371386886799424E-01 a       203     0    14     1     8
 -8.5859897552231212E-01 a       204     0    14     1     9
  4.4067864663493425E-02 a       205     0    14     1    10
  1.2591533155143461E-01 a       206     0    14     1    11
  9.6729955386471264E-02 a       207     0    14     1    12
 -2.7291601118721404E-01 a       208     0    14     1    13
  3.4960728663260282E-01 a       209     0    14     1    14
  7.2848149030256193E-01 a       210     0    14     1    15
 -1.1795060000396528E-01 a       211     0    15     1     1
