################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.2727399360459521E-01 a         1     0     1     1     1
  7.7454859809777754E-01 a         2     0     1     1     2
 -7.3735612077179755E-02 a         3     0     1     1     3
 -6.1568729991235183E-01 a         4     0     1     1     4
 -1.2524946571027840E-01 a         5     0     1     1     5
 -3.2200396710749668E-01 a         6     0     1     1     6
  4.4015639885306429E-01 a         7     0     1     1     7
 -1.2886737317991812E+00 a         8     0     1     1     8
 -1.2452981701821920E-01 a         9     0     1     1     9
 -5.9509646176357489E-01 a        10     0     1     1    10
 -2.6599854453021232E-01 a        11     0     1     1    11
  6.7427546070113609E-01 a        12     0     1     1    12
 -3.7262387100215588E-01 a        13     0     1     1    13
 -1.1565775266566485E+00 a        14     0     1     1    14
 -1.6925628870922818E-01 a        15     0     1     1    15
 -9.2164593680735618E-01 a        16     0     2     1     1
 -4.9239265789580322E-01 a        17     0     2     1     2
  1.0188113975742334E+00 a        18     0     2     1     3
  3.1357022695466030E-02 a        19     0     2     1     4
  3.1455847221440125E-01 a        20     0     2     1     5
 -5.0708943570872811E-01 a        21     0     2     1     6
 -1.0714770896834795E+00 a        22     0     2     1     7
  1.1234658906586330E+00 a        23     0     2     1     8
 -2.5818532597635635E-01 a        24     0     2     1     9
 -2.1654572548969417E-01 a        25     0     2     1    10
 -9.8580494938161040E-02 a        26     0     2     1    11
 -6.5375426499696590E-02 a        27     0     2     1    12
  9.5369741914271899E-01 a        28     0     2     1    13
 -4.1180462826726449E-01 a        29     0     2     1    14
  1.0455132067048067E+00 a        30     0     2     1    15
  3.1020730929664209E-01 a        31     0     3     1     1
 -6.4410583662185961E-01 a        32     0     3     1     2
 -2.7118812692191319E-01 a        33     0     3     1     3
  9.3640620075818068E-02 a        34     0     3     1     4
  9.0009501817047077E-01 a        35     0     3     1     5
 -5.7125191394486896E-01 a        36     0     3     1     6
  1.9398149722108485E-01 a        37     0     3     1     7
 -2.1452750872815352E-01 a        38     0     3     1     8
  8.5217735768576897E-01 a        39     0     3     1     9
 -5.6436775706270613E-02 a        40     0     3     1    10
  7.8430322779918527E-01 a        41     0     3     1    11
  3.7450639518396989E-01 a        42     0     3     1    12
  7.4449844533236698E-01 a        43     0     3     1    13
  5.2861640799942833E-01 a        44     0     3     1    14
  3.8428519410514797E-02 a        45     0     3     1    15
 -8.5706392742358894E-01 a        46     0     4     1     1
 -3.6689035961631444E-01 a        47     0     4     1     2
  5.9555746792222608E-01 a        48     0     4     1     3
  1.2352582763571973E+00 a        49     0     4     1     4
 -2.1579265990421748E-01 a        50     0     4     1     5
 -9.0790628923545347E-01 a        51     0     4     1     6
  2.8365612652724370E-01 a        52     0     4     1     7
  8.8299802075529499E-01 a        53     0     4     1     8
  9.3801272297921601E-01 a        54     0     4     1     9
  3.6704489704055973E-02 a        55     0     4     1    10
  1.3059131004272888E+00 a        56     0     4     1    11
 -3.4421317234512844E-01 a        57     0     4     1    12
  8.5077368783143578E-02 a        58     0     4     1    13
  1.2139022938579601E-01 a        59     0     4     1    14
 -1.7291807094158104E-01 a        60     0     4     1    15
 -2.4059471368226970E-01 a        61     0     5     1     1
 -1.9240685888717374E-01 a        62     0     5     1     2
  1.9033384036356463E-01 a        63     0     5     1     3
  5.9774958964799108E-01 a        64     0     5     1     4
  1.7514218181326721E-01 a        65     0     5     1     5
