################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.5241952559417178E-01 a         1     0     1     1     1
  7.1597894846048638E-01 a         2     0     1     1     2
  1.0682771514049583E-01 a         3     0     1     1     3
  7.6698764088500460E-01 a         4     0     1     1     4
  1.5643380969594831E-01 a         5     0     1     1     5
  1.1087419589005976E+00 a         6     0     1     1     6
 -2.2236683944539445E-01 a         7     0     1     1     7
  7.1586714968168752E-01 a         8     0     1     1     8
  3.9194216566054985E-01 a         9     0     1     1     9
  1.1277175716785472E+00 a        10     0     1     1    10
 -6.6929015755038557E-01 a        11     0     1     1    11
 -8.7094333596065485E-02 a        12     0     1     1    12
 -4.3831418081152773E-01 a        13     0     1     1    13
  5.8518972564492899E-01 a        14     0     1     1    14
  9.7568832475449868E-02 a        15     0     1     1    15
 -2.0802580574897549E-03 a        16     0     2     1     1
 -6.9673576339995813E-01 a        17     0     2     1     2
 -1.6840864956266510E-01 a        18     0     2     1     3
  1.1726490322129495E+00 a        19     0     2     1     4
 -1.4881218717061180E+00 a        20     0     2     1     5
  3.5148314726807722E-01 a        21     0     2     1     6
 -8.2103200590256620E-01 a        22     0     2     1     7
 -5.9799653919037898E-01 a        23     0     2     1     8
  4.8904899215610398E-01 a        24     0     2     1     9
 -9.6195136700645822E-01 a        25     0     2     1    10
 -8.8333860932290487E-01 a        26     0     2     1    11
  7.8908737420864031E-02 a        27     0     2     1    12
  7.4539204733482467E-01 a        28     0     2     1    13
  9.4565408178591537E-01 a        29     0     2     1    14
  5.8463617118098354E-01 a        30     0     2     1    15
 -1.8306368009981394E-01 a        31     0     3     1     1
  6.3650120887896888E-01 a        32     0     3     1     2
  1.2826918319545572E-01 a        33     0     3     1     3
 -6.4522706937698848E-01 a        34     0     3     1     4
  1.1891564183632044E+00 a        35     0     3     1     5
  9.6187550891868798E-03 a        36     0     3     1     6
 -5.9452323647078475E-01 a        37     0     3     1     7
  7.1069141382323939E-02 a        38     0     3     1     8
  2.2351649940835441E-01 a        39     0     3     1     9
 -6.8374780344524588E-01 a        40     0     3     1    10
  5.7821070908082556E-02 a        41     0     3     1    11
  7.6179515297660017E-01 a        42     0     3     1    12
 -1.5086283143022611E-01 a        43     0     3     1    13
 -6.8626136427687268E-01 a        44     0     3     1    14
  3.6954904228929775E-01 a        45     0     3     1    15
 -1.1146551583005022E-01 a        46     0     4     1     1
 -7.4861670401263203E-01 a        47     0     4     1     2
 -1.2095994721187948E+00 a        48     0     4     1     3
  5.3120638979159651E-01 a        49     0     4     1     4
  4.0911656566411420E-01 a        50     0     4     1     5
 -1.3338724567605418E+00 a        51     0     4     1     6
 -9.8406965568321858E-01 a        52     0     4     1     7
  5.5378069721418388E-01 a        53     0     4     1     8
  5.4967167446552900E-01 a        54     0     4     1     9
  1.5990475188276354E-01 a        55     0     4     1    10
  1.9760801528802177E-02 a        56     0     4     1    11
 -9.3044619329268041E-01 a        57     0     4     1    12
 -9.8021847671297124E-02 a        58     0     4     1    13
 -3.3718807371050985E-01 a        59     0     4     1    14
  1.3496446731027643E-02 a        60     0     4     1    15
  3.3104805805583543E-01 a        61     0     5     1     1
 -1.0491880727280072E-01 a        62     0     5     1     2
  4.6002008266311267E-01 a        63     0     5     1     3
 -6.2653007385951021E-01 a        64     0     5     1     4
 -7.8231461100412203E-01 a        65     0     5     1     5
 -3.6025387514607699E-01 a        66     0     5     1     6
 -2.2887503304511722E-01 a        67     0     5     1     7
  6.3758881470707673E-01 a        68     0     5     1     8
 -1.0075887244380946E+00 a        69     0     5     1     9
 -5.6056161380250558E-01 a        70     0     5     1    10
  4.6745369201233450E-01 a        71     0     5     1    11
 -2.7333209293464628E-01 a        72     0     5     1    12
  4.3606904461967622E-01 a        73     0     5     1    13
  4.4134536263407970E-01 a        74     0     5     1    14
 -1.6801787199329671E-01 a        75     0     5     1    15
 -9.5408593213704429E-01 a        76     0     6     1     1
 -1.0767463091685079E+00 a        77     0     6     1     2
 -1.2521713801982767E-01 a        78     0     6     1     3
  9.5622578171903727E-01 a        79     0     6     1     4
 -7.4900433784598697E-01 a        80     0     6     1     5
  8.6118830049707773E-01 a        81     0     6     1     6
 -1.0907168186217655E+00 a        82     0     6     1     7
 -7.3597010760789083E-01 a        83     0     6     1     8
  1.0290658255146898E+00 a        84     0     6     1     9
 -6.4570715201197726E-01 a        85     0     6     1    10
 -1.0721910649986446E+00 a        86     0     6     1    11
  3.2193456934178538E-01 a        87     0     6     1    12
  6.8998836554677578E-01 a        88     0     6     1    13
 -7.8716437560909208E-02 a        89     0     6     1    14
 -3.4614472203638397E-01 a        90     0     6     1    15
 -1.2730308397113051E-03 a        91     0     7     1     1
 -2.9255460739276923E-01 a        92     0     7     1     2
  6.3892742490068100E-01 a        93     0     7     1     3
  4.0571044694179226E-01 a        94     0     7     1     4
 -1.5226593334319629E+00 a        95     0     7     1     5
 -7.9193432198430924E-01 a        96     0     7     1     6
 -2.2477425385890849E-02 a        97     0     7     1     7
 -7.6772271230746736E-01 a        98     0     7     1     8
  1.7557828310533691E-01 a        99     0     7     1     9
  2.1957411588981103E-02 a       100     0     7     1    10
 -4.1447905513718813E-01 a       101     0     7     1    11
  6.3827317555277607E-01 a       102     0     7     1    12
  7.4617344506009220E-01 a       103     0     7     1    13
 -9.7392496034727971E-01 a       104     0     7     1    14
 -8.0544533810742203E-01 a       105     0     7     1    15
  4.4942913257987804E-01 a       106     0     8     1     1
 -9.8158134773282268E-01 a       107     0     8     1     2
  6.4291061066818578E-01 a       108     0     8     1     3
  4.5257277904642623E-01 a       109     0     8     1     4
  7.8478037875971751E-01 a       110     0     8     1     5
 -1.3105631766196660E-01 a       111     0     8     1     6
  7.5897725282438022E-01 a       112     0     8     1     7
 -9.0388949351145975E-01 a       113     0     8     1     8
 -1.9871896756197893E-01 a       114     0     8     1     9
  1.0726744954301877E+00 a       115     0     8     1    10
  2.8243940059430944E-01 a       116     0     8     1    11
  3.2581477522037516E-01 a       117     0     8     1    12
 -2.5693471393814982E-01 a       118     0     8     1    13
  2.1857691220009029E-01 a       119     0     8     1    14
 -1.5130341710069765E-03 a       120     0     8     1    15
 -8.9527160535558670E-01 a       121     0     9     1     1
 -3.5952375478263698E-01 a       122     0     9     1     2
  6.5926998086363708E-01 a       123     0     9     1     3
  2.6597474231819684E-01 a       124     0     9     1     4
  6.9416782474892869E-01 a       125     0     9     1     5
 -2.6456201096943072E-01 a       126     0     9     1     6
 -1.7754522085037314E-01 a       127     0     9     1     7
 -8.0828699218158051E-01 a       128     0     9     1     8
  7.4553329575229521E-01 a       129     0     9     1     9
  2.4969987462733134E-01 a       130     0     9     1    10
 -7.8042698442966296E-01 a       131     0     9     1    11
 -4.5695901795063010E-01 a       132     0     9     1    12
  2.9430979539840990E-01 a       133     0     9     1    13
 -4.0788767407946891E-01 a       134     0     9     1    14
  5.6250462640787924E-02 a       135     0     9     1    15
  4.6734571043993006E-01 a       136     0    10     1     1
  7.3724048350928251E-01 a       137     0    10     1     2
 -9.0747881859097723E-01 a       138     0    10     1     3
 -1.1692561922380678E+00 a       139     0    10     1     4
  6.2516922128314695E-02 a       140     0    10     1     5
 -4.8737493380964315E-02 a       141     0    10     1     6
 -1.1321051703168450E+00 a       142     0    10     1     7
 -9.6217936307569141E-02 a       143     0    10     1     8
  6.2044074227218970E-01 a       144     0    10     1     9
 -7.7019978127234087E-02 a       145     0    10     1    10
  6.0159819476698628E-01 a       146     0    10     1    11
 -1.8573155700381497E-01 a       147     0    10     1    12
 -5.8890003932696167E-01 a       148     0    10     1    13
  1.6194994525680659E-01 a       149     0    10     1    14
  7.4096909763262531E-01 a       150     0    10     1    15
  1.2799989875034907E+00 a       151     0    11     1     1
 -6.6695559688549511E-01 a       152     0    11     1     2
 -5.4390820964888742E-01 a       153     0    11     1     3
 -7.2520581399320816E-01 a       154     0    11     1     4
  4.9319576106004054E-01 a       155     0    11     1     5
  1.3062938877391912E+00 a       156     0    11     1     6
 -9.1427028590762016E-01 a       157     0    11     1     7
  1.1637917469362242E+00 a       158     0    11     1     8
 -2.6011641964559723E-01 a       159     0    11     1     9
  3.9664872302983450E-01 a       160     0    11     1    10
  4.0050758924108659E-01 a       161     0    11     1    11
 -3.1069072287451288E-01 a       162     0    11     1    12
 -1.8719399737594652E-01 a       163     0    11     1    13
  8.8437054008970550E-01 a       164     0    11     1    14
  2.2077072494929402E+00 a       165     0    11     1    15
 -1.2284325632275064E+00 a       166     0    12     1     1
  2.9625010310034516E-01 a       167     0    12     1     2
  4.8825396312148567E-01 a       168     0    12     1     3
 -1.1908843743299955E+00 a       169     0    12     1     4
 -2.3679848192990122E-01 a       170     0    12     1     5
  7.4250893170864496E-01 a       171     0    12     1     6
  4.8763518214421359E-01 a       172     0    12     1     7
  2.9132022194306284E-01 a       173     0    12     1     8
 -9.7760237314629272E-01 a       174     0    12     1     9
 -4.2505819615025503E-02 a       175     0    12     1    10
 -2.2496834925037174E-01 a       176     0    12     1    11
 -9.6917615854327110E-01 a       177     0    12     1    12
  4.4790872247923003E-01 a       178     0    12     1    13
  1.0381277493948866E+00 a       179     0    12     1    14
  6.0466839679147855E-01 a       180     0    12     1    15
  1.1274159154242489E+00 a       181     0    13     1     1
 -4.6948316881125185E-01 a       182     0    13     1     2
 -5.5912079216134947E-01 a       183     0    13     1     3
 -2.5354773846806694E-01 a       184     0    13     1     4
  4.4354511110968348E-01 a       185     0    13     1     5
  7.8808309324914139E-01 a       186     0    13     1     6
  2.3768343464088512E-01 a       187     0    13     1     7
  4.8499190161143563E-01 a       188     0    13     1     8
 -9.5948345423584602E-01 a       189     0    13     1     9
  1.7310852764519583E-01 a       190     0    13     1    10
 -2.2387125024288559E-01 a       191     0    13     1    11
 -1.3349964824463296E+00 a       192     0    13     1    12
 -1.6765428693012591E-01 a       193     0    13     1    13
  8.2255900850426500E-02 a       194     0    13     1    14
 -5.3533517273551379E+00 a       195     0    13     1    15
  3.6532748630853817E-01 a       196     0    14     1     1
 -1.0006558174216040E-01 a       197     0    14     1     2
 -5.1523984638818565E-01 a       198     0    14     1     3
  1.6054003652237334E+00 a       199     0    14     1     4
  2.2854762666674016E+00 a       200     0    14     1     5
 -3.8373075102610060E-01 a       201     0    14     1     6
 -4.2655144905025366E-01 a       202     0    14     1     7
 -1.2288078577802295E+00 a       203     0    14     1     8
 -1.7895364957670976E-01 a       204     0    14     1     9
 -1.9826080992816970E-02 a       205     0    14     1    10
 -8.2918510314273372E-02 a       206     0    14     1    11
 -1.2255257620269706E-01 a       207     0    14     1    12
  1.3393040858697430E-01 a       208     0    14     1    13
 -1.7584720534881100E+00 a       209     0    14     1    14
 -4.4242774386970392E-02 a       210     0    14     1    15
  8.8397418873917666E-01 a       211     0    15     1     1
  5.4939601630479795E-01 a       212     0    15     1     2
  7.6146098195871523E-02 a       213     0    15     1     3
  3.4428293227211004E-01 a       214     0    15     1     4
  1.2445034587084425E+00 a       215     0    15     1     5
 -6.4137094843097486E-01 a       216     0    15     1     6
 -3.7458399052486524E-01 a       217     0    15     1     7
 -3.7223173367686607E-01 a       218     0    15     1     8
  1.3074873515759218E+00 a       219     0    15     1     9
  2.2446550869878859E-01 a       220     0    15     1    10
  3.9083635593773702E-01 a       221     0    15     1    11
 -3.8642641877764500E-01 a       222     0    15     1    12
  2.4612662786221723E-01 a       223     0    15     1    13
 -6.6857250044866579E-01 a       224     0    15     1    14
  3.9553898328337804E+00 a       225     0    15     1    15
 -3.3033687928160249E-01 a       226     0    16     1     1
 -1.8442740476772029E-01 a       227     0    16     1     2
  4.1070665971775333E-01 a       228     0    16     1     3
 -3.5348571539272639E-01 a       229     0    16     1     4
 -5.6042335183811132E-01 a       230     0    16     1     5
 -1.3114406233204107E-01 a       231     0    16     1     6
 -3.8887435960044153E-01 a       232     0    16     1     7
  4.5484066497989506E-01 a       233     0    16     1     8
 -4.9263357715008016E-01 a       234     0    16     1     9
  3.1007143295114536E-01 a       235     0    16     1    10
