################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -5.9179671673190648E-01 a         1     0     1     1     1
 -9.6784141900202825E-01 a         2     0     1     1     2
  1.5399668444874934E+00 a         3     0     1     1     3
  2.6723750473417701E-01 a         4     0     1     1     4
  9.3573976678023452E-01 a         5     0     1     1     5
 -5.5702713247641290E-02 a         6     0     1     1     6
  1.5059770806524473E+00 a         7     0     1     1     7
  3.1600410691297759E-01 a         8     0     1     1     8
  4.7278868789691725E-01 a         9     0     1     1     9
  3.1766533066044267E-01 a        10     0     1     1    10
  3.8594780478046514E-01 a        11     0     1     1    11
 -5.8036909162553629E-01 a        12     0     1     1    12
 -1.1446011163327592E+00 a        13     0     1     1    13
 -1.4791076263609690E-01 a        14     0     1     1    14
  1.5072796518663789E-01 a        15     0     1     1    15
  2.4982557915767514E-01 a        16     0     2     1     1
  4.8084334810468039E-02 a        17     0     2     1     2
  4.7235638268863303E-03 a        18     0     2     1     3
 -4.7850925608350464E-01 a        19     0     2     1     4
 -5.3097505292235914E-01 a        20     0     2     1     5
 -1.1994484215051162E+00 a        21     0     2     1     6
 -1.0616484644166648E+00 a        22     0     2     1     7
  2.6704974418146426E-03 a        23     0     2     1     8
  1.8014673985218863E-01 a        24     0     2     1     9
 -1.6076797296200400E+00 a        25     0     2     1    10
 -6.2041540604843637E-01 a        26     0     2     1    11
  8.3316132907743967E-01 a        27     0     2     1    12
  1.4657041268902526E+00 a        28     0     2     1    13
 -1.0514019426728416E+00 a        29     0     2     1    14
  7.6095537006533143E-01 a        30     0     2     1    15
 -4.3724149885127170E-02 a        31     0     3     1     1
  2.1144610556058910E-01 a        32     0     3     1     2
  2.6195819228287315E-01 a        33     0     3     1     3
 -2.8790406366913829E-01 a        34     0     3     1     4
 -1.7794654322897882E-01 a        35     0     3     1     5
 -3.5452165698953364E-01 a        36     0     3     1     6
  9.1295633214085214E-01 a        37     0     3     1     7
