################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.2629239389306839E-01 a         1     0     1     1     1
 -1.7157456088342291E-01 a         2     0     1     1     2
  7.1563986971650007E-01 a         3     0     1     1     3
  1.5848786287439139E-02 a         4     0     1     1     4
 -1.0042986348437479E+00 a         5     0     1     1     5
 -5.5874848195770821E-01 a         6     0     1     1     6
 -7.6356561393452105E-01 a         7     0     1     1     7
 -3.5424163910160750E-01 a         8     0     1     1     8
  9.3656050898755794E-01 a         9     0     1     1     9
  2.6020439988591609E-01 a        10     0     1     1    10
  3.2143801638607139E-02 a        11     0     1     1    11
  3.4743961626808101E-01 a        12     0     1     1    12
  2.6611458154755352E-01 a        13     0     1     1    13
 -6.9053753425051978E-01 a        14     0     1     1    14
  6.6288325720542843E-02 a        15     0     1     1    15
 -2.4253709289301715E+00 a        16     0     2     1     1
 -6.7400199823514273E-01 a        17     0     2     1     2
 -2.1171063598941692E-01 a        18     0     2     1     3
 -2.9628163085765469E-01 a        19     0     2     1     4
 -2.7039058093498292E+00 a        20     0     2     1     5
 -2.1832698347921538E+00 a        21     0     2     1     6
  2.0562902841875599E+00 a        22     0     2     1     7
 -1.2501310622550725E+00 a        23     0     2     1     8
 -3.0712952839806107E+00 a        24     0     2     1     9
  3.0545795114149534E+00 a        25     0     2     1    10
  3.4292515280712826E-01 a        26     0     2     1    11
 -6.0936800699264670E-01 a        27     0     2     1    12
 -2.3533070157178737E-01 a        28     0     2     1    13
 -1.4266737813436881E-01 a        29     0     2     1    14
 -3.6313008975555188E+00 a        30     0     2     1    15
  3.9841893226348540E-01 a        31     0     3     1     1
 -2.2140777702329900E-01 a        32     0     3     1     2
 -4.5261414949527867E-01 a        33     0     3     1     3
  6.4240311168539177E-01 a        34     0     3     1     4
 -1.8798954030709150E-01 a        35     0     3     1     5
 -1.1888304708374253E+00 a        36     0     3     1     6
  5.2962138802575970E-02 a        37     0     3     1     7
 -1.4584341111427892E+00 a        38     0     3     1     8
 -5.3652527703130573E-02 a        39     0     3     1     9
 -1.3014852314119965E-01 a        40     0     3     1    10
  3.2071891752072312E-01 a        41     0     3     1    11
  5.8851487336943165E-01 a        42     0     3     1    12
  7.5564591398020264E-01 a        43     0     3     1    13
 -8.5978098327695718E-01 a        44     0     3     1    14
  1.1688044048303027E-01 a        45     0     3     1    15
 -9.1109783919478798E-02 a        46     0     4     1     1
 -2.8898275157129455E-01 a        47     0     4     1     2
  1.3143970755445294E-01 a        48     0     4     1     3
 -8.0899974125361362E-01 a        49     0     4     1     4
  5.8219959687027711E-01 a        50     0     4     1     5
  6.3025513364597621E-02 a        51     0     4     1     6
 -7.3869678028278721E-02 a        52     0     4     1     7
 -5.6556540824758850E-01 a        53     0     4     1     8
  1.2841269569895311E+00 a        54     0     4     1     9
 -1.3436630560780634E+00 a        55     0     4     1    10
 -6.5201929624659405E-01 a        56     0     4     1    11
 -7.7895169989151847E-01 a        57     0     4     1    12
  1.1338559076698378E+00 a        58     0     4     1    13
  2.1595641643321688E+00 a        59     0     4     1    14
  1.9326904032896461E+00 a        60     0     4     1    15
  4.1246013208057236E-01 a        61     0     5     1     1
  5.1815186331719465E-01 a        62     0     5     1     2
 -4.8567480034303867E-01 a        63     0     5     1     3
  5.6520720301983285E-01 a        64     0     5     1     4
  1.0405625194308050E+00 a        65     0     5     1     5
 -4.8165491090146575E-02 a        66     0     5     1     6
 -2.3065951647875851E-01 a        67     0     5     1     7
 -1.2485822880743622E+00 a        68     0     5     1     8
  5.4752235196958121E-01 a        69     0     5     1     9
  6.8522950173512975E-01 a        70     0     5     1    10
 -4.3747134556571010E-01 a        71     0     5     1    11
  4.4899234905125940E-01 a        72     0     5     1    12
  4.3413235886985024E-01 a        73     0     5     1    13
 -2.3600217946917362E-01 a        74     0     5     1    14
  5.7337065850450253E-01 a        75     0     5     1    15
  2.0462800729136195E+00 a        76     0     6     1     1
 -2.1037545004063898E-01 a        77     0     6     1     2
 -3.6259749019075721E-01 a        78     0     6     1     3
 -5.9805798426327395E-01 a        79     0     6     1     4
  1.2124239991292649E+00 a        80     0     6     1     5
  2.2659164466720003E-01 a        81     0     6     1     6
 -1.6109184503342622E+00 a        82     0     6     1     7
 -1.1522384721215417E+00 a        83     0     6     1     8
  3.6320527963068958E+00 a        84     0     6     1     9
 -2.9158530203150552E+00 a        85     0     6     1    10
 -1.3778017868133251E-02 a        86     0     6     1    11
  4.5237386991795087E-01 a        87     0     6     1    12
  9.5758920916205148E-01 a        88     0     6     1    13
 -1.1724749240287632E-01 a        89     0     6     1    14
  4.6905361879590011E+00 a        90     0     6     1    15
 -4.1994450966299351E-01 a        91     0     7     1     1
 -7.1223073528467029E-01 a        92     0     7     1     2
 -1.0026783436337388E+00 a        93     0     7     1     3
 -8.5850890846445427E-01 a        94     0     7     1     4
  1.0455631256887754E+00 a        95     0     7     1     5
  5.6691034796008521E-01 a        96     0     7     1     6
  2.8368625699785963E-02 a        97     0     7     1     7
 -3.8269466375193367E-01 a        98     0     7     1     8
 -5.1308824785469720E-01 a        99     0     7     1     9
  4.7567270490716984E-01 a       100     0     7     1    10
  1.0827487038940548E-01 a       101     0     7     1    11
 -1.2980281568475133E-01 a       102     0     7     1    12
  1.3495077550241227E-01 a       103     0     7     1    13
  9.4761820721973172E-02 a       104     0     7     1    14
 -8.8427127671471539E-01 a       105     0     7     1    15
  1.5821267247487329E+00 a       106     0     8     1     1
  1.3886168450656124E+00 a       107     0     8     1     2
  1.3531975578170234E+00 a       108     0     8     1     3
  1.3475793879354853E-01 a       109     0     8     1     4
  2.4538651690623120E-04 a       110     0     8     1     5
 -1.4591184710638883E+00 a       111     0     8     1     6
  2.1491314951384732E-01 a       112     0     8     1     7
  6.3880922029381382E-01 a       113     0     8     1     8
 -2.6169314775619759E+00 a       114     0     8     1     9
  9.6072005779090663E-01 a       115     0     8     1    10
  2.6974982175321310E-01 a       116     0     8     1    11
 -4.7012804102804384E-01 a       117     0     8     1    12
  1.3843346096604916E+00 a       118     0     8     1    13
 -4.7495362379679529E+00 a       119     0     8     1    14
 -3.5122119341971212E+00 a       120     0     8     1    15
 -1.4746488484974749E-01 a       121     0     9     1     1
 -1.8899660541618841E+00 a       122     0     9     1     2
  8.0017505556395629E-01 a       123     0     9     1     3
 -3.3645347107860990E-01 a       124     0     9     1     4
 -2.4070118828625534E-02 a       125     0     9     1     5
 -5.7692060374520393E-01 a       126     0     9     1     6
  1.6886131982254193E-01 a       127     0     9     1     7
  1.2407511196573232E-01 a       128     0     9     1     8
 -7.4316720589517582E-01 a       129     0     9     1     9
 -5.7674573207922342E-01 a       130     0     9     1    10
 -2.8513413246992029E-02 a       131     0     9     1    11
 -2.8025855630317043E-01 a       132     0     9     1    12
  2.6976937069903711E-01 a       133     0     9     1    13
 -5.0780710090629189E-01 a       134     0     9     1    14
  3.2404505591061633E-01 a       135     0     9     1    15
 -1.4996780674179822E+00 a       136     0    10     1     1
  6.0545146642548953E-01 a       137     0    10     1     2
 -2.0722847219664517E+00 a       138     0    10     1     3
 -2.3155167742220156E-01 a       139     0    10     1     4
 -1.9117878740953278E+00 a       140     0    10     1     5
  3.0441764369348605E+00 a       141     0    10     1     6
 -2.9641058793418101E-01 a       142     0    10     1     7
 -7.7649002908061815E-01 a       143     0    10     1     8
  2.2845397395311577E+00 a       144     0    10     1     9
 -1.4416249874026050E+00 a       145     0    10     1    10
 -7.4730049587609548E-01 a       146     0    10     1    11
  1.3722196470164996E+00 a       147     0    10     1    12
 -5.6557761013557216E-02 a       148     0    10     1    13
  1.6618892439928108E+00 a       149     0    10     1    14
 -6.8591673987148938E-01 a       150     0    10     1    15
  3.8790556866379894E-01 a       151     0    11     1     1
  5.1635827985477267E-01 a       152     0    11     1     2
  9.1720812365577975E-01 a       153     0    11     1     3
  1.3261549880104157E-02 a       154     0    11     1     4
  3.3425332098005101E-01 a       155     0    11     1     5
 -1.3459798232964687E-01 a       156     0    11     1     6
  4.3650429825664354E-02 a       157     0    11     1     7
 -7.0386782433597073E-01 a       158     0    11     1     8
  8.8330400598509839E-01 a       159     0    11     1     9
  4.3431488454110573E-01 a       160     0    11     1    10
 -7.2890793830991604E-02 a       161     0    11     1    11
  1.1089309547175584E-01 a       162     0    11     1    12
 -1.6213679726652466E-01 a       163     0    11     1    13
 -2.2691367931481934E-01 a       164     0    11     1    14
  9.1639754699415807E-02 a       165     0    11     1    15
  8.9752411883428744E-03 a       166     0    12     1     1
  9.7458042606311768E-01 a       167     0    12     1     2
  2.4361986095420738E+00 a       168     0    12     1     3
 -8.5256105980689001E-02 a       169     0    12     1     4
  2.0584939578924093E+00 a       170     0    12     1     5
 -1.9323710841470010E+00 a       171     0    12     1     6
 -1.6264898817216749E+00 a       172     0    12     1     7
  3.9463597698382351E+00 a       173     0    12     1     8
 -1.8045138237805698E+00 a       174     0    12     1     9
  1.3888558092745102E+00 a       175     0    12     1    10
  7.3015342227637370E-01 a       176     0    12     1    11
 -2.2696013677450899E-01 a       177     0    12     1    12
 -1.3248301368170599E+00 a       178     0    12     1    13
  1.9756236353528176E+00 a       179     0    12     1    14
  1.6883994581599246E+00 a       180     0    12     1    15
 -3.2045792918320309E-01 a       181     0    13     1     1
  6.7468379584994409E-01 a       182     0    13     1     2
 -8.1073961289868912E-01 a       183     0    13     1     3
 -3.7767579127420292E-01 a       184     0    13     1     4
  5.0903422383111054E-02 a       185     0    13     1     5
  3.2938468061440096E-01 a       186     0    13     1     6
 -4.4897823355367877E-01 a       187     0    13     1     7
 -1.8497515272726264E-01 a       188     0    13     1     8
 -5.1292508380929158E-01 a       189     0    13     1     9
 -2.9405171040995831E-01 a       190     0    13     1    10
 -3.4233259148386597E-02 a       191     0    13     1    11
 -1.0813457948075200E-01 a       192     0    13     1    12
 -3.6789763745033638E-01 a       193     0    13     1    13
  7.4553412012149135E-03 a       194     0    13     1    14
  5.5856432782552271E-02 a       195     0    13     1    15
  5.4265039104580082E-02 a       196     0    14     1     1
  6.4254679469646803E-01 a       197     0    14     1     2
 -1.4127244472235659E-01 a       198     0    14     1     3
 -2.3520311148747133E-01 a       199     0    14     1     4
 -3.9861494667234837E-01 a       200     0    14     1     5
 -1.7628216993920136E-02 a       201     0    14     1     6
  6.0988081971100283E-01 a       202     0    14     1     7
 -1.8275363876339970E+00 a       203     0    14     1     8
  6.5189751910794691E-01 a       204     0    14     1     9
  3.8473425815740675E-01 a       205     0    14     1    10
 -4.3554828129010972E-02 a       206     0    14     1    11
 -6.2590745093074374E-01 a       207     0    14     1    12
  9.8364578499468869E-01 a       208     0    14     1    13
 -8.4602205346667203E-01 a       209     0    14     1    14
 -4.2904744918786814E-01 a       210     0    14     1    15
  7.6635582543309655E-02 a       211     0    15     1     1
  2.5600587145037941E-02 a       212     0    15     1     2
  1.9614323781964252E-01 a       213     0    15     1     3
  9.6887706938654353E-02 a       214     0    15     1     4
 -1.5291598402438086E-01 a       215     0    15     1     5
 -6.6027998036839688E-02 a       216     0    15     1     6
  7.4474355216895050E-02 a       217     0    15     1     7
  2.7618801957191919E-01 a       218     0    15     1     8
  1.1366786083365267E-01 a       219     0    15     1     9
  3.3442032993705184E-02 a       220     0    15     1    10
  5.6600800531868986E-02 a       221     0    15     1    11
 -6.7634019464748743E-02 a       222     0    15     1    12
  1.9917262513084394E-01 a       223     0    15     1    13
  4.0018717639427291E-02 a       224     0    15     1    14
 -3.3866110993836455E-02 a       225     0    15     1    15
  1.5502325209929379E-02 a       226     0    16     1     1
 -6.4088951305135824E-02 a       227     0    16     1     2
 -5.3725373241980223E-01 a       228     0    16     1     3
  3.5922009070676836E-01 a       229     0    16     1     4
 -3.7908386935337733E-02 a       230     0    16     1     5
 -1.1818556536855053E-01 a       231     0    16     1     6
 -2.0921152663461037E-01 a       232     0    16     1     7
  8.1128945039823402E-02 a       233     0    16     1     8
 -6.0113452491233066E-02 a       234     0    16     1     9
  9.7158447027757472E-02 a       235     0    16     1    10
  4.2411622875739671E-02 a       236     0    16     1    11
  3.3007340494802036E-02 a       237     0    16     1    12
 -3.1009188469566135E-01 a       238     0    16     1    13
  1.4768287888836237E-01 a       239     0    16     1    14
  8.0664068356690339E-03 a       240     0    16     1    15
 -1.0420118587187058E-01 a       241     0    17     1     1
  3.8876908425470436E-01 a       242     0    17     1     2
 -5.2988197432578432E-01 a       243     0    17     1     3
 -4.6760334466117340E-02 a       244     0    17     1     4
  6.7801741236626323E-01 a       245     0    17     1     5
  3.9220288718491209E-01 a       246     0    17     1     6
 -4.0187064540122097E-01 a       247     0    17     1     7
  1.6453870712189697E-01 a       248     0    17     1     8
 -2.2767946131380956E-01 a       249     0    17     1     9
  5.0442532145271413E-01 a       250     0    17     1    10
  1.7315044554166242E-02 a       251     0    17     1    11
 -3.0955827327428748E-01 a       252     0    17     1    12
 -4.9589467274091970E-01 a       253     0    17     1    13
  7.1918285485211939E-02 a       254     0    17     1    14
  1.3874769733524743E-02 a       255     0    17     1    15
 -2.0209730422061881E-01 a       256     0    18     1     1
 -1.4574473596314874E-01 a       257     0    18     1     2
 -7.2775605626285311E-01 a       258     0    18     1     3
  2.4075040569445966E-01 a       259     0    18     1     4
 -1.2337614577646889E-02 a       260     0    18     1     5
 -6.2386130251368910E-01 a       261     0    18     1     6
  2.3908730488734364E-01 a       262     0    18     1     7
 -6.1008198927207886E-02 a       263     0    18     1     8
  4.8987379744249732E-01 a       264     0    18     1     9
 -4.4886452574265534E-01 a       265     0    18     1    10
 -8.2003728583111501E-02 a       266     0    18     1    11
 -7.2960281434659557E-01 a       267     0    18     1    12
 -2.6515614417519584E-01 a       268     0    18     1    13
  1.9321483254290284E-01 a       269     0    18     1    14
 -4.8871076480216152E-01 a       270     0    18     1    15
 -8.0239646423617095E-01 a       271     0    19     1     1
 -1.8689734744249983E-01 a       272     0    19     1     2
  2.4518457800010083E+00 a       273     0    19     1     3
  3.6471158605084564E+00 a       274     0    19     1     4
  1.6031843474866941E-01 a       275     0    19     1     5
 -2.4447875907496872E+00 a       276     0    19     1     6
 -3.2602913992418725E+00 a       277     0    19     1     7
  9.1892712207064087E-01 a       278     0    19     1     8
 -2.0001167573354479E+00 a       279     0    19     1     9
  1.6414285730060809E+00 a       280     0    19     1    10
 -8.9371414555015438E-01 a       281     0    19     1    11
  1.5877404996483240E+00 a       282     0    19     1    12
 -1.0257361202678861E+00 a       283     0    19     1    13
 -3.3721867203883655E+00 a       284     0    19     1    14
  7.2520278675960759E-01 a       285     0    19     1    15
 -1.8577695025105764E-01 a       286     0    20     1     1
 -2.6643205416464244E-01 a       287     0    20     1     2
  2.1577750212106739E-01 a       288     0    20     1     3
  4.5374992774937234E-01 a       289     0    20     1     4
 -5.6465550215981997E-01 a       290     0    20     1     5
 -2.1218002841373831E-01 a       291     0    20     1     6
 -7.6764979326528496E-02 a       292     0    20     1     7
  1.0780163575066501E+00 a       293     0    20     1     8
 -1.5456114645165625E-01 a       294     0    20     1     9
 -4.3357980823451392E-01 a       295     0    20     1    10
 -9.0797154018854978E-02 a       296     0    20     1    11
 -8.4333511589858454E-02 a       297     0    20     1    12
  9.2591849720209798E-02 a       298     0    20     1    13
  3.2619644467904252E-01 a       299     0    20     1    14
 -1.2158638737324118E-02 a       300     0    20     1    15
 -2.3899028574694964E-01 a       301     0    21     1     1
  3.5432873826392847E-01 a       302     0    21     1     2
  9.2539865907106234E-01 a       303     0    21     1     3
  1.0254068693567255E+00 a       304     0    21     1     4
 -1.3468979440233312E-02 a       305     0    21     1     5
 -5.2903250301253715E-02 a       306     0    21     1     6
  3.8446641623449107E-01 a       307     0    21     1     7
 -6.4710206870183318E-01 a       308     0    21     1     8
 -4.4846479018380880E-01 a       309     0    21     1     9
  1.0676996517288961E+00 a       310     0    21     1    10
  8.5659135407584575E-02 a       311     0    21     1    11
 -1.2892537958338561E+00 a       312     0    21     1    12
  1.3505242057642547E-01 a       313     0    21     1    13
  4.1147040896345649E-01 a       314     0    21     1    14
 -1.1966930944560129E-01 a       315     0    21     1    15
 -2.4299498365699752E+00 a       316     0    22     1     1
 -3.7564750932496355E-01 a       317     0    22     1     2
 -1.0979784847927081E+00 a       318     0    22     1     3
  1.0230707445632514E+00 a       319     0    22     1     4
  2.3068526448272180E+00 a       320     0    22     1     5
  1.5599507306089406E+00 a       321     0    22     1     6
  2.4733300482545824E+00 a       322     0    22     1     7
 -3.8039744202806869E-01 a       323     0    22     1     8
  1.9427834985213743E+00 a       324     0    22     1     9
 -3.8318530096204051E+00 a       325     0    22     1    10
  1.9710055206372334E+00 a       326     0    22     1    11
  1.1188001615225709E+00 a       327     0    22     1    12
  7.9206750126384329E-01 a       328     0    22     1    13
  9.0675612483018375E-01 a       329     0    22     1    14
 -2.4312438738952675E+00 a       330     0    22     1    15
 -1.4709610214604148E-02 a       331     0    23     1     1
  7.0858541523670677E-03 a       332     0    23     1     2
  1.3894432100032100E-01 a       333     0    23     1     3
 -7.8986938577492311E-02 a       334     0    23     1     4
 -2.1173619982214598E-01 a       335     0    23     1     5
  5.5251892506166219E-03 a       336     0    23     1     6
 -1.4986684488661669E-02 a       337     0    23     1     7
