################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  8.2138733688026755E-01 a         1     0     1     1     1
 -7.0190291674772431E-01 a         2     0     1     1     2
  1.4783007359157341E+00 a         3     0     1     1     3
 -7.3884014865626069E-02 a         4     0     1     1     4
  1.3436520146633275E+00 a         5     0     1     1     5
  1.3418760900776663E-01 a         6     0     1     1     6
  1.0779407318152932E+00 a         7     0     1     1     7
  7.2660702507232466E-01 a         8     0     1     1     8
  1.5840244955628116E-01 a         9     0     1     1     9
 -1.5947445011356263E+00 a        10     0     1     1    10
  5.4633374044658023E-01 a        11     0     1     1    11
 -3.4567635840165994E-01 a        12     0     1     1    12
 -4.3589910226072359E-01 a        13     0     1     1    13
  1.5788171222550287E+00 a        14     0     1     1    14
 -2.0980432026140844E-01 a        15     0     1     1    15
 -1.0817958117003501E+00 a        16     0     2     1     1
  3.8902429239306509E+00 a        17     0     2     1     2
  1.6939418716093286E+00 a        18     0     2     1     3
 -4.5944459569906959E-01 a        19     0     2     1     4
  9.2449926584058306E-01 a        20     0     2     1     5
  8.0046052136708479E-01 a        21     0     2     1     6
  3.3810015191004221E+00 a        22     0     2     1     7
  1.2576907713087166E+00 a        23     0     2     1     8
  1.6554637575819411E+00 a        24     0     2     1     9
 -6.5776494737551400E-02 a        25     0     2     1    10
  5.1404183939224812E-01 a        26     0     2     1    11
 -2.6909101674884091E+00 a        27     0     2     1    12
  3.7541678824598792E+00 a        28     0     2     1    13
 -2.4022035875564049E-01 a        29     0     2     1    14
  2.7080117445620191E+00 a        30     0     2     1    15
 -1.0891081665559212E+00 a        31     0     3     1     1
  1.2995161634435579E+00 a        32     0     3     1     2
  6.0833981154664249E-02 a        33     0     3     1     3
 -1.2278239439320753E+00 a        34     0     3     1     4
  1.5468419126257895E+00 a        35     0     3     1     5
  8.7513027020072509E-01 a        36     0     3     1     6
  1.7124215606211043E-01 a        37     0     3     1     7
  2.0490384791612820E-01 a        38     0     3     1     8
 -9.0121139800997263E-01 a        39     0     3     1     9
 -7.4729338291046291E-02 a        40     0     3     1    10
  3.9362961626061771E-01 a        41     0     3     1    11
 -5.6139758909436832E-01 a        42     0     3     1    12
  8.8325901176470345E-01 a        43     0     3     1    13
  2.5692288985145212E-01 a        44     0     3     1    14
  6.2346553506645841E-01 a        45     0     3     1    15
  4.0434474543708293E-01 a        46     0     4     1     1
 -4.4213391613192696E+00 a        47     0     4     1     2
 -1.0116512293078144E+00 a        48     0     4     1     3
 -1.5185999741899994E-01 a        49     0     4     1     4
  9.8265850132704013E-01 a        50     0     4     1     5
  7.7910180838417900E-02 a        51     0     4     1     6
 -3.3027589357298353E+00 a        52     0     4     1     7
 -1.3926218793811012E+00 a        53     0     4     1     8
  1.5344958783756202E+00 a        54     0     4     1     9
  3.2309745555277514E-01 a        55     0     4     1    10
  2.0794207592792953E+00 a        56     0     4     1    11
 -9.3893156584599158E-01 a        57     0     4     1    12
 -3.3666166266694453E+00 a        58     0     4     1    13
 -7.4902087487049074E-01 a        59     0     4     1    14
 -1.1283455948738095E+00 a        60     0     4     1    15
 -4.8703497675795848E-01 a        61     0     5     1     1
 -3.6285875977062271E-01 a        62     0     5     1     2
 -1.1281247275216593E+00 a        63     0     5     1     3
  2.3564726573283138E-03 a        64     0     5     1     4
  5.3010361158606234E-01 a        65     0     5     1     5
 -1.7655584570012040E-01 a        66     0     5     1     6
 -1.1042946530536810E+00 a        67     0     5     1     7
 -6.8491790055230273E-01 a        68     0     5     1     8
  4.9086362175765158E-01 a        69     0     5     1     9
  2.0220801252423302E+00 a        70     0     5     1    10
  4.2610209109541236E-01 a        71     0     5     1    11
 -9.1912147085616192E-01 a        72     0     5     1    12
 -7.4172280719268152E-02 a        73     0     5     1    13
  1.7526769725724492E-01 a        74     0     5     1    14
 -6.0821257623863687E-02 a        75     0     5     1    15
  3.9267189313740354E-02 a        76     0     6     1     1
 -2.9992288970421770E+00 a        77     0     6     1     2
 -1.7070051064303611E+00 a        78     0     6     1     3
  1.3670347379665670E-01 a        79     0     6     1     4
 -1.2823641192156572E+00 a        80     0     6     1     5
  1.6582319714541216E-01 a        81     0     6     1     6
 -3.3537796509364273E+00 a        82     0     6     1     7
 -4.5657615039369194E-02 a        83     0     6     1     8
  1.4167951610226246E+00 a        84     0     6     1     9
 -1.0002918447054086E+00 a        85     0     6     1    10
  1.0685473046544325E+00 a        86     0     6     1    11
  5.6636775284049889E-01 a        87     0     6     1    12
 -3.5049203325321407E+00 a        88     0     6     1    13
  7.0070377275226109E-02 a        89     0     6     1    14
  1.6317029282603121E-01 a        90     0     6     1    15
  9.2429552383741276E-01 a        91     0     7     1     1
 -4.1365711250672110E-01 a        92     0     7     1     2
 -4.6022162106628156E-01 a        93     0     7     1     3
  4.9207843182793537E-01 a        94     0     7     1     4
 -1.3322297143899660E+00 a        95     0     7     1     5
  2.9652867443331343E-01 a        96     0     7     1     6
 -1.0736981074851530E+00 a        97     0     7     1     7
  2.8797991186471794E-01 a        98     0     7     1     8
  2.0523831868675463E-01 a        99     0     7     1     9
  1.8617449469735958E+00 a       100     0     7     1    10
 -3.2551594858390387E-01 a       101     0     7     1    11
 -6.2960524265428630E-01 a       102     0     7     1    12
 -2.8641912766636424E-01 a       103     0     7     1    13
 -6.4506319185803496E-01 a       104     0     7     1    14
 -1.2290254258971900E-01 a       105     0     7     1    15
 -1.5139431781501258E+00 a       106     0     8     1     1
  7.5083771213089321E+00 a       107     0     8     1     2
  4.3985405126769761E-01 a       108     0     8     1     3
 -5.6276547863087678E-01 a       109     0     8     1     4
 -1.8368937001347911E+00 a       110     0     8     1     5
 -2.0766245516857040E+00 a       111     0     8     1     6
  4.1087695726814326E+00 a       112     0     8     1     7
  2.6039104009237017E+00 a       113     0     8     1     8
  6.7723599242187771E-01 a       114     0     8     1     9
 -1.3904371848334424E-01 a       115     0     8     1    10
 -2.2423692724879070E+00 a       116     0     8     1    11
 -1.0703015937269371E+00 a       117     0     8     1    12
  4.6883583622326892E+00 a       118     0     8     1    13
 -2.7881755474431014E-01 a       119     0     8     1    14
  1.0284284529935868E+00 a       120     0     8     1    15
  3.1088480290147119E-01 a       121     0     9     1     1
  3.8304894419278168E-01 a       122     0     9     1     2
 -7.6515297729496012E-01 a       123     0     9     1     3
 -3.2929441972257084E-01 a       124     0     9     1     4
 -5.6756710034332236E-01 a       125     0     9     1     5
 -8.0380582698949876E-02 a       126     0     9     1     6
  8.2808746974949832E-01 a       127     0     9     1     7
 -9.8522067184054862E-01 a       128     0     9     1     8
  8.4069496306170999E-02 a       129     0     9     1     9
 -2.7529382013859027E-01 a       130     0     9     1    10
  5.9652446988497443E-01 a       131     0     9     1    11
  3.6038925315926851E-01 a       132     0     9     1    12
  6.7724928044890409E-01 a       133     0     9     1    13
 -2.7929175544836171E-01 a       134     0     9     1    14
  2.8126576193168545E-01 a       135     0     9     1    15
