################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  9.2709536263218573E-01 a         1     0     1     1     1
  3.1564913912918197E-01 a         2     0     1     1     2
  8.8012174405352428E-01 a         3     0     1     1     3
  2.6211122752619737E-01 a         4     0     1     1     4
  1.0054513270700376E+00 a         5     0     1     1     5
  1.1058746283621490E+00 a         6     0     1     1     6
  8.3230067826634435E-01 a         7     0     1     1     7
  6.6642812430095399E-02 a         8     0     1     1     8
 -5.5663478092133278E-01 a         9     0     1     1     9
  4.7824680351165452E-02 a        10     0     1     1    10
  5.1407308829139298E-01 a        11     0     1     1    11
 -2.9832298711709271E-01 a        12     0     1     1    12
  1.9606840112498208E-01 a        13     0     1     1    13
  1.1062535847788464E+00 a        14     0     1     1    14
  1.4259096511784533E-01 a        15     0     1     1    15
 -5.2850557430536474E-02 a        16     0     2     1     1
  2.9998997782130384E-02 a        17     0     2     1     2
 -7.7525941785502539E-01 a        18     0     2     1     3
  9.5979447552151653E-01 a        19     0     2     1     4
 -6.0221809218596356E-01 a        20     0     2     1     5
  7.7454513403828673E-01 a        21     0     2     1     6
  3.2700701963850198E-01 a        22     0     2     1     7
  4.9343075091566319E-01 a        23     0     2     1     8
 -1.2140793192913684E+00 a        24     0     2     1     9
  2.6497588489754470E-01 a        25     0     2     1    10
  1.1521024384207224E+00 a        26     0     2     1    11
 -2.2532252830797525E-01 a        27     0     2     1    12
 -1.4510345981908246E-01 a        28     0     2     1    13
 -2.0129762876948534E-02 a        29     0     2     1    14
  5.8474901352525865E-01 a        30     0     2     1    15
  3.8432012952576267E-01 a        31     0     3     1     1
  5.6831614369490824E-01 a        32     0     3     1     2
 -3.9947739179904490E-01 a        33     0     3     1     3
  1.2092915547913634E-03 a        34     0     3     1     4
  6.5108135612035312E-01 a        35     0     3     1     5
 -8.9733547254459090E-01 a        36     0     3     1     6
 -5.3842317609856594E-01 a        37     0     3     1     7
 -5.6680833574092071E-01 a        38     0     3     1     8
  7.2418946965699416E-01 a        39     0     3     1     9
  1.0502947148399919E+00 a        40     0     3     1    10
 -7.3021954668693068E-01 a        41     0     3     1    11
  4.6604013853485782E-01 a        42     0     3     1    12
 -8.4369711883629217E-01 a        43     0     3     1    13
 -1.6461050704347999E-01 a        44     0     3     1    14
  4.1553029004336682E-02 a        45     0     3     1    15
  7.1788709889699398E-01 a        46     0     4     1     1
 -1.7754263835722501E+00 a        47     0     4     1     2
 -7.1972715109773799E-01 a        48     0     4     1     3
  2.6012703189464453E-01 a        49     0     4     1     4
  3.6666361641864470E-01 a        50     0     4     1     5
  1.3177592245442342E+00 a        51     0     4     1     6
 -8.3053338962832568E-01 a        52     0     4     1     7
  2.2832656718058375E-01 a        53     0     4     1     8
 -6.0547883422727289E-01 a        54     0     4     1     9
  5.2077085240485677E-01 a        55     0     4     1    10
 -4.9542146307664986E-01 a        56     0     4     1    11
 -8.7837235595279839E-01 a        57     0     4     1    12
  7.4458972706358773E-01 a        58     0     4     1    13
 -1.3106382009346822E+00 a        59     0     4     1    14
  3.1881878891430548E-01 a        60     0     4     1    15
 -2.0468303334734847E-01 a        61     0     5     1     1
  1.7778934042293321E-01 a        62     0     5     1     2
 -3.3979785822397829E-01 a        63     0     5     1     3
 -5.1939697772858040E-01 a        64     0     5     1     4
 -1.0087342356333560E+00 a        65     0     5     1     5
 -1.0127317269006786E+00 a        66     0     5     1     6
 -7.3627315725781017E-01 a        67     0     5     1     7
  6.4460670001296461E-01 a        68     0     5     1     8
 -7.0790476626164744E-01 a        69     0     5     1     9
  2.8805632522019425E-01 a        70     0     5     1    10
  1.4193723229668004E-01 a        71     0     5     1    11
 -5.7482107630634183E-01 a        72     0     5     1    12
  5.6708175579873477E-01 a        73     0     5     1    13
 -9.4532297966789358E-01 a        74     0     5     1    14
 -2.0869329977244628E-02 a        75     0     5     1    15
  8.2656858959273005E-01 a        76     0     6     1     1
 -2.9179202061656512E-01 a        77     0     6     1     2
 -2.8449118396248690E-01 a        78     0     6     1     3
  4.1883411831678219E-01 a        79     0     6     1     4
 -2.0494449677441731E-01 a        80     0     6     1     5
  8.1027968386946625E-01 a        81     0     6     1     6
  3.2961260745590854E-01 a        82     0     6     1     7
 -6.0049854019169047E-01 a        83     0     6     1     8
  4.6311564948497835E-01 a        84     0     6     1     9
  8.7449019176487494E-02 a        85     0     6     1    10
 -2.3693645401709054E-01 a        86     0     6     1    11
 -5.0690002637449705E-01 a        87     0     6     1    12
 -7.8539791084836208E-01 a        88     0     6     1    13
 -1.5822800958209384E+00 a        89     0     6     1    14
 -6.1921938504864649E-01 a        90     0     6     1    15
  3.9649499694376072E-01 a        91     0     7     1     1
 -8.5261631231243962E-01 a        92     0     7     1     2
 -2.6093260553849673E-01 a        93     0     7     1     3
  3.4597451103457251E-02 a        94     0     7     1     4
 -4.6852084797557325E-01 a        95     0     7     1     5
 -3.5379475940779315E-01 a        96     0     7     1     6
 -4.5641862048343279E-01 a        97     0     7     1     7
  2.8663976537459507E-01 a        98     0     7     1     8
 -1.0588708193252774E+00 a        99     0     7     1     9
 -1.2942512636714563E+00 a       100     0     7     1    10
  6.4036912425294723E-01 a       101     0     7     1    11
  9.3727745675385540E-02 a       102     0     7     1    12
