################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.5717019267291988E-01 a         1     0     1     1     1
 -4.9633044531395326E-01 a         2     0     1     1     2
 -3.5249689126726125E-01 a         3     0     1     1     3
 -4.4605636328324268E-02 a         4     0     1     1     4
 -8.2256525266289549E-01 a         5     0     1     1     5
 -3.3632779501815802E-01 a         6     0     1     1     6
  1.0138215498167085E+00 a         7     0     1     1     7
 -1.0156169812880218E+00 a         8     0     1     1     8
  8.8221789552171659E-01 a         9     0     1     1     9
  7.1574717194603055E-01 a        10     0     1     1    10
 -7.3076137453940981E-01 a        11     0     1     1    11
  1.3432757875014611E-01 a        12     0     1     1    12
  3.7568428941672638E-01 a        13     0     1     1    13
  7.6187591558881906E-01 a        14     0     1     1    14
  4.8414397400731890E-01 a        15     0     1     1    15
  6.2919463276755172E-01 a        16     0     2     1     1
  5.1725970202034102E+00 a        17     0     2     1     2
 -4.9710926850533985E+00 a        18     0     2     1     3
  2.6033381432186933E+00 a        19     0     2     1     4
 -6.5914570514355370E-02 a        20     0     2     1     5
  2.0437308862821046E-01 a        21     0     2     1     6
  9.7479844298747931E-01 a        22     0     2     1     7
 -1.2470053154087097E+00 a        23     0     2     1     8
  1.6101543657607567E+00 a        24     0     2     1     9
  2.3325493429439317E+00 a        25     0     2     1    10
  7.4506744821709686E-02 a        26     0     2     1    11
  2.1867352681540382E+00 a        27     0     2     1    12
  1.6137562474423075E+00 a        28     0     2     1    13
 -3.2872530053865306E-01 a        29     0     2     1    14
  1.1035287905415834E+00 a        30     0     2     1    15
  2.3157906113560262E-01 a        31     0     3     1     1
 -1.0054531100680968E-01 a        32     0     3     1     2
 -8.7073860266043857E-01 a        33     0     3     1     3
  2.8612162150892757E-04 a        34     0     3     1     4
 -1.5669276270335669E-01 a        35     0     3     1     5
 -1.6310332033619745E-01 a        36     0     3     1     6
 -5.1414082326899557E-01 a        37     0     3     1     7
 -3.8032890969371830E-01 a        38     0     3     1     8
 -5.8855837189187787E-01 a        39     0     3     1     9
 -4.6545192227662885E-01 a        40     0     3     1    10
  2.0314135349438261E-01 a        41     0     3     1    11
 -1.5408299293310232E-01 a        42     0     3     1    12
  8.8478653897404003E-01 a        43     0     3     1    13
 -2.4325088697355482E-01 a        44     0     3     1    14
 -6.4467388297759587E-01 a        45     0     3     1    15
 -1.7102601049624960E-01 a        46     0     4     1     1
 -3.2893341770918716E+00 a        47     0     4     1     2
  2.8115077460062703E+00 a        48     0     4     1     3
 -1.4385886722676946E+00 a        49     0     4     1     4
  1.2483505397956709E+00 a        50     0     4     1     5
  8.1578617553361432E-01 a        51     0     4     1     6
 -8.2332727361257974E-01 a        52     0     4     1     7
 -2.2010215824216584E-01 a        53     0     4     1     8
 -1.9795698513969535E+00 a        54     0     4     1     9
  2.6125992166079731E-01 a        55     0     4     1    10
 -1.3628359795434160E+00 a        56     0     4     1    11
 -8.7861656553946010E-01 a        57     0     4     1    12
  1.1025252442388329E+00 a        58     0     4     1    13
  8.8853532750081143E-01 a        59     0     4     1    14
  2.1976250684044190E+00 a        60     0     4     1    15
  1.2286211144211119E+00 a        61     0     5     1     1
  6.1908704524201413E-02 a        62     0     5     1     2
  3.4088324922038049E-01 a        63     0     5     1     3
 -1.8900057657165173E-01 a        64     0     5     1     4
  3.0741637089548490E-01 a        65     0     5     1     5
  3.0425757356517980E-01 a        66     0     5     1     6
  1.4307546890685000E-01 a        67     0     5     1     7
  4.6962508711883061E-01 a        68     0     5     1     8
  3.2636615557567283E-01 a        69     0     5     1     9
  5.6368246570478464E-01 a        70     0     5     1    10
  6.6815289401180603E-02 a        71     0     5     1    11
 -3.7531220347134109E-01 a        72     0     5     1    12
 -4.3046651477956399E-01 a        73     0     5     1    13
  1.8643767202630648E-01 a        74     0     5     1    14
  6.3871291206763214E-01 a        75     0     5     1    15
 -3.8544909541348016E-01 a        76     0     6     1     1
 -4.4940501174381904E+00 a        77     0     6     1     2
  4.1233524241511370E+00 a        78     0     6     1     3
 -2.1187507421921388E+00 a        79     0     6     1     4
  4.7705416448385241E-01 a        80     0     6     1     5
 -7.2780063859241650E-01 a        81     0     6     1     6
 -5.3317740003749670E-01 a        82     0     6     1     7
 -2.1007249035636169E+00 a        83     0     6     1     8
 -2.1983147208007505E+00 a        84     0     6     1     9
 -1.6824812802058904E+00 a        85     0     6     1    10
  1.5470733567421327E-01 a        86     0     6     1    11
 -1.9361630078876046E+00 a        87     0     6     1    12
 -1.5453131666540461E+00 a        88     0     6     1    13
  1.1799330629100373E+00 a        89     0     6     1    14
  1.0544297557877447E+00 a        90     0     6     1    15
  1.8341697155786543E-01 a        91     0     7     1     1
  3.7533828968715363E-02 a        92     0     7     1     2
  9.5400812603682983E-01 a        93     0     7     1     3
 -8.6779863568540130E-02 a        94     0     7     1     4
 -5.2303471544301594E-01 a        95     0     7     1     5
