################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.4331989657708433E-01 a         1     0     1     1     1
 -7.0386813185891173E-01 a         2     0     1     1     2
  2.8189615511515309E-01 a         3     0     1     1     3
  8.4860265770079224E-01 a         4     0     1     1     4
  4.0242911476182031E-02 a         5     0     1     1     5
 -1.3942148728923875E-01 a         6     0     1     1     6
 -1.8123674441968823E-01 a         7     0     1     1     7
 -1.0591655213451798E+00 a         8     0     1     1     8
  7.6131631048373705E-01 a         9     0     1     1     9
 -5.8699938857958101E-02 a        10     0     1     1    10
  2.7833112410476946E-01 a        11     0     1     1    11
  3.3575821583839643E-01 a        12     0     1     1    12
 -5.7215269317375106E-01 a        13     0     1     1    13
 -7.3438479453650463E-01 a        14     0     1     1    14
 -3.2977840073046133E-01 a        15     0     1     1    15
  4.5537416322572932E-01 a        16     0     2     1     1
 -2.5697761908821535E-02 a        17     0     2     1     2
 -7.3953360245409083E-01 a        18     0     2     1     3
 -2.3912278904479975E-01 a        19     0     2     1     4
  2.8543430451018309E-01 a        20     0     2     1     5
  7.0597263538779387E-01 a        21     0     2     1     6
  5.6895463506147770E-01 a        22     0     2     1     7
  4.6792133262677499E-01 a        23     0     2     1     8
  3.5522076698822386E-01 a        24     0     2     1     9
 -7.9569325593075257E-01 a        25     0     2     1    10
 -9.5819928730904158E-01 a        26     0     2     1    11
  1.2177127488922344E+00 a        27     0     2     1    12
  1.3187488777823027E+00 a        28     0     2     1    13
  1.0032751425336484E+00 a        29     0     2     1    14
 -1.3921873288505455E+00 a        30     0     2     1    15
  2.6908402520892838E-01 a        31     0     3     1     1
  1.7262023406295215E-01 a        32     0     3     1     2
 -1.7253963425721497E-01 a        33     0     3     1     3
  1.0698791567601602E-01 a        34     0     3     1     4
 -6.0593876186893902E-01 a        35     0     3     1     5
 -5.7776632556971963E-01 a        36     0     3     1     6
 -2.8455946134604210E-01 a        37     0     3     1     7
  4.9268459413898257E-02 a        38     0     3     1     8
  7.7131745013667341E-01 a        39     0     3     1     9
  7.8501816244144884E-01 a        40     0     3     1    10
 -4.8611427314240357E-01 a        41     0     3     1    11
 -4.8961077354844318E-01 a        42     0     3     1    12
  7.5515111165416493E-01 a        43     0     3     1    13
  5.1601665903432470E-01 a        44     0     3     1    14
  4.9489113626486136E-01 a        45     0     3     1    15
  9.4938217427865113E-01 a        46     0     4     1     1
 -8.6488227415920105E-02 a        47     0     4     1     2
  1.1039719010130102E+00 a        48     0     4     1     3
  3.2539726684433118E-01 a        49     0     4     1     4
 -2.7191425280920278E-01 a        50     0     4     1     5
  3.3893538590446339E-03 a        51     0     4     1     6
  1.1940111764571735E+00 a        52     0     4     1     7
  5.9860133126817383E-01 a        53     0     4     1     8
 -2.3720021761770410E-01 a        54     0     4     1     9
  1.6915425876776372E-01 a        55     0     4     1    10
 -4.4519275944309111E-01 a        56     0     4     1    11
 -3.2265738602258470E-01 a        57     0     4     1    12
  1.2401934468328408E+00 a        58     0     4     1    13
  1.7212805464696013E-01 a        59     0     4     1    14
 -7.3111149788841590E-01 a        60     0     4     1    15
 -6.9688355230757060E-01 a        61     0     5     1     1
 -2.8068021750786509E-01 a        62     0     5     1     2
  8.9291778498858165E-01 a        63     0     5     1     3
 -8.6077095938766890E-01 a        64     0     5     1     4
  1.1463830856522337E+00 a        65     0     5     1     5
  5.1087649229131407E-02 a        66     0     5     1     6
  2.8670616427095341E-01 a        67     0     5     1     7
 -6.5708678825188160E-01 a        68     0     5     1     8
 -2.7865616073125588E-01 a        69     0     5     1     9
  5.4983213063668013E-01 a        70     0     5     1    10
  1.4299709984838579E-02 a        71     0     5     1    11
 -6.0715030489344868E-01 a        72     0     5     1    12
 -6.8105526353674617E-01 a        73     0     5     1    13
 -2.0669224794487839E-01 a        74     0     5     1    14
 -1.0085474053829078E+00 a        75     0     5     1    15
 -2.7326473902386178E-01 a        76     0     6     1     1
  1.1302945823956385E+00 a        77     0     6     1     2
 -8.6866983150811136E-02 a        78     0     6     1     3
 -1.1033221247787039E-01 a        79     0     6     1     4
 -6.6335714322802142E-01 a        80     0     6     1     5
  7.6943762319244480E-01 a        81     0     6     1     6
  2.1000283091185925E-02 a        82     0     6     1     7
 -1.1141288399936793E+00 a        83     0     6     1     8
  1.8948369653441446E-01 a        84     0     6     1     9
 -9.0125967735804446E-01 a        85     0     6     1    10
  4.3873225699575119E-01 a        86     0     6     1    11
  2.3903131842556422E-01 a        87     0     6     1    12
  7.2520629419115612E-01 a        88     0     6     1    13
  5.4982474696098582E-01 a        89     0     6     1    14
 -2.9032848275653611E-01 a        90     0     6     1    15
 -3.8569609165436181E-01 a        91     0     7     1     1
  7.4870784594276363E-01 a        92     0     7     1     2
 -4.5818981722455776E-01 a        93     0     7     1     3
 -6.3500995458821274E-01 a        94     0     7     1     4
 -8.3000551919684848E-02 a        95     0     7     1     5
  7.2008653702069569E-01 a        96     0     7     1     6
  2.0275612845831070E-01 a        97     0     7     1     7
  9.8897548199866170E-01 a        98     0     7     1     8
 -1.0115318843492744E+00 a        99     0     7     1     9
 -8.4993894899121847E-01 a       100     0     7     1    10
