################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.0485387967548371E-01 a         1     0     1     1     1
  2.7508302060802844E-02 a         2     0     1     1     2
  1.2025844128819072E+00 a         3     0     1     1     3
  1.2367760967545540E+00 a         4     0     1     1     4
  9.5096780697357594E-02 a         5     0     1     1     5
 -3.3059538267647359E-01 a         6     0     1     1     6
 -2.3982173687996142E-01 a         7     0     1     1     7
  8.7590283325734453E-01 a         8     0     1     1     8
  4.7759162871441718E-01 a         9     0     1     1     9
 -4.9322846572845219E-01 a        10     0     1     1    10
 -4.7910510497017622E-01 a        11     0     1     1    11
  1.9249890754028937E-01 a        12     0     1     1    12
  8.6398707113048909E-02 a        13     0     1     1    13
  1.2714530268929030E+00 a        14     0     1     1    14
  5.1134302431584755E-01 a        15     0     1     1    15
 -4.7876900639913789E-01 a        16     0     2     1     1
 -6.7309626152040947E-01 a        17     0     2     1     2
  1.3841282747131001E+00 a        18     0     2     1     3
 -4.4807117036103739E-01 a        19     0     2     1     4
 -6.1521729685725590E-01 a        20     0     2     1     5
  9.0055737029247884E-01 a        21     0     2     1     6
 -1.0682845103132259E-01 a        22     0     2     1     7
  2.9902294179624350E-01 a        23     0     2     1     8
  1.3564528764481383E+00 a        24     0     2     1     9
 -4.4535226159803415E-01 a        25     0     2     1    10
  8.6693186181791748E-01 a        26     0     2     1    11
  1.3470142000236893E+00 a        27     0     2     1    12
  2.6346661989513076E-01 a        28     0     2     1    13
  1.0081561646704944E+00 a        29     0     2     1    14
  1.1517346602848212E-01 a        30     0     2     1    15
 -1.4888699591268455E+00 a        31     0     3     1     1
 -7.6306772391812427E-01 a        32     0     3     1     2
 -1.5089290907277741E-01 a        33     0     3     1     3
  1.0309914921813841E+00 a        34     0     3     1     4
 -2.6024296891167320E-01 a        35     0     3     1     5
 -4.9125675564260768E-01 a        36     0     3     1     6
  2.2359952413674625E-01 a        37     0     3     1     7
 -9.5295849299770352E-01 a        38     0     3     1     8
 -4.6670685044050775E-01 a        39     0     3     1     9
 -1.3293335324382077E-01 a        40     0     3     1    10
 -9.3413400558332782E-01 a        41     0     3     1    11
 -1.8926965859915862E-01 a        42     0     3     1    12
  1.2006202628369822E+00 a        43     0     3     1    13
  4.4452116867775004E-01 a        44     0     3     1    14
  1.8526203529566329E-01 a        45     0     3     1    15
 -6.6822248260302708E-01 a        46     0     4     1     1
 -6.3434004260714238E-01 a        47     0     4     1     2
  1.1337778772529030E+00 a        48     0     4     1     3
 -4.4168171819427138E-01 a        49     0     4     1     4
 -1.4343329132931029E-02 a        50     0     4     1     5
 -6.6913794891425527E-01 a        51     0     4     1     6
  4.2677320819353981E-01 a        52     0     4     1     7
 -5.0108773924113392E-01 a        53     0     4     1     8
 -1.3341739374730802E-01 a        54     0     4     1     9
 -8.0844132170077077E-01 a        55     0     4     1    10
 -6.3712421045223178E-01 a        56     0     4     1    11
 -2.9258182940751426E-01 a        57     0     4     1    12
  3.6535231267441709E-01 a        58     0     4     1    13
 -3.4600161963982506E-01 a        59     0     4     1    14
  1.7123497191702679E+00 a        60     0     4     1    15
 -3.5469528899917951E-01 a        61     0     5     1     1
  2.2336686474270678E-01 a        62     0     5     1     2
 -5.2620134699526877E-01 a        63     0     5     1     3
  5.0830031965190026E-01 a        64     0     5     1     4
  2.6028005287114747E-01 a        65     0     5     1     5
 -4.5609512274030722E-01 a        66     0     5     1     6
 -7.2680360492177110E-01 a        67     0     5     1     7
  5.5785447418735934E-01 a        68     0     5     1     8
 -5.4738295764249101E-01 a        69     0     5     1     9
  9.2663451896908211E-01 a        70     0     5     1    10
 -3.6476151295317000E-01 a        71     0     5     1    11
  1.6457444702609730E-01 a        72     0     5     1    12
  7.0733884645497225E-01 a        73     0     5     1    13
 -3.8293204544384202E-02 a        74     0     5     1    14
  8.4471145805992331E-01 a        75     0     5     1    15
  6.5707197954284924E-02 a        76     0     6     1     1
 -1.8121938757826309E-01 a        77     0     6     1     2
 -8.5515602277825109E-01 a        78     0     6     1     3
 -7.4042768383179236E-01 a        79     0     6     1     4
 -6.9301611374307293E-01 a        80     0     6     1     5
  4.4279665470534812E-01 a        81     0     6     1     6
  5.0661404679857536E-01 a        82     0     6     1     7
 -2.6400400023092679E-01 a        83     0     6     1     8
  6.0349813727904889E-01 a        84     0     6     1     9
 -2.2855490854878854E-01 a        85     0     6     1    10
 -8.1585159514532490E-01 a        86     0     6     1    11
 -3.6232678453329009E-01 a        87     0     6     1    12
 -5.9576782009354468E-01 a        88     0     6     1    13
  5.4476230781860369E-01 a        89     0     6     1    14
  3.8906982597245887E-01 a        90     0     6     1    15
 -8.0038609887692247E-01 a        91     0     7     1     1
  1.0086052490354436E+00 a        92     0     7     1     2
  5.1229679591540356E-01 a        93     0     7     1     3
