################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.8926097341898034E-01 a         1     0     1     1     1
 -1.2118981661601380E+00 a         2     0     1     1     2
 -1.1932515029913932E-01 a         3     0     1     1     3
  2.0592142697554353E-01 a         4     0     1     1     4
 -1.1058181827848617E+00 a         5     0     1     1     5
  3.9449441248436679E-01 a         6     0     1     1     6
  1.3086559111326926E-01 a         7     0     1     1     7
  1.1475166895215533E-01 a         8     0     1     1     8
  1.0989503124896303E+00 a         9     0     1     1     9
 -7.5966164768003497E-01 a        10     0     1     1    10
  1.0077203702261268E+00 a        11     0     1     1    11
  7.9150667828071697E-01 a        12     0     1     1    12
  1.4395278015938038E+00 a        13     0     1     1    13
 -9.1520199133218949E-01 a        14     0     1     1    14
  4.2801950570773956E-01 a        15     0     1     1    15
  1.5600607900779480E+00 a        16     0     2     1     1
 -1.2505450545999869E-01 a        17     0     2     1     2
  1.0343371477926326E+00 a        18     0     2     1     3
 -2.7164236275815030E+00 a        19     0     2     1     4
 -4.7261953499193254E-01 a        20     0     2     1     5
  8.0052383139187766E-01 a        21     0     2     1     6
  1.9299884627917665E+00 a        22     0     2     1     7
  1.4248024179286258E+00 a        23     0     2     1     8
  1.1813008567963963E+00 a        24     0     2     1     9
  1.5069503826681556E+00 a        25     0     2     1    10
  2.7776940796944181E+00 a        26     0     2     1    11
  2.3110453248534002E+00 a        27     0     2     1    12
  7.2454622161722748E-01 a        28     0     2     1    13
  1.0702947833189866E+00 a        29     0     2     1    14
  1.8008135771510458E+00 a        30     0     2     1    15
  7.8765088055711152E-01 a        31     0     3     1     1
 -1.2767467453160382E+00 a        32     0     3     1     2
 -4.2393563449997690E-01 a        33     0     3     1     3
 -1.5590038084231153E-01 a        34     0     3     1     4
 -3.9411529511036142E-01 a        35     0     3     1     5
  2.2300009249635294E-01 a        36     0     3     1     6
  2.0852966138527454E-01 a        37     0     3     1     7
 -4.4587885034511154E-01 a        38     0     3     1     8
  7.7320791083608842E-02 a        39     0     3     1     9
  7.4899735732016182E-01 a        40     0     3     1    10
 -4.3022534733216738E-01 a        41     0     3     1    11
 -7.8274042361739271E-01 a        42     0     3     1    12
  3.8565349723701076E-01 a        43     0     3     1    13
 -2.0110363070900056E-01 a        44     0     3     1    14
  3.6012324561047415E-01 a        45     0     3     1    15
  2.5602203980726684E-01 a        46     0     4     1     1
 -1.5073049838609591E+00 a        47     0     4     1     2
 -3.0666240435937775E-01 a        48     0     4     1     3
  2.1881521594176805E+00 a        49     0     4     1     4
  3.5391228067985686E-01 a        50     0     4     1     5
 -6.8065206594853966E-01 a        51     0     4     1     6
 -1.6704293015649654E+00 a        52     0     4     1     7
 -9.0259303579488837E-01 a        53     0     4     1     8
 -1.5084421979417362E+00 a        54     0     4     1     9
 -1.5815032400582498E+00 a        55     0     4     1    10
 -2.1084296800002900E+00 a        56     0     4     1    11
 -4.0020337944808926E+00 a        57     0     4     1    12
  2.2455162384132197E+00 a        58     0     4     1    13
 -3.5904180499192845E-01 a        59     0     4     1    14
 -7.5962796173121339E-01 a        60     0     4     1    15
  2.9244538333607456E-01 a        61     0     5     1     1
  2.5253035565669046E-01 a        62     0     5     1     2
 -5.0112581820092728E-01 a        63     0     5     1     3
  1.2730787791443110E-01 a        64     0     5     1     4
  9.3441792507034616E-01 a        65     0     5     1     5
  3.0469464434705323E-01 a        66     0     5     1     6
 -8.6382256813583957E-01 a        67     0     5     1     7
  6.9168385099644258E-01 a        68     0     5     1     8
 -1.3849892289626260E+00 a        69     0     5     1     9
  3.5890261626549491E-01 a        70     0     5     1    10
 -6.4403915530624523E-01 a        71     0     5     1    11
  7.5419874793484762E-02 a        72     0     5     1    12
  9.1304246171353323E-03 a        73     0     5     1    13
  1.8042521205926831E-01 a        74     0     5     1    14
 -4.6048009144032753E-01 a        75     0     5     1    15
 -1.5630383016487619E+00 a        76     0     6     1     1
 -2.7194328314930777E-01 a        77     0     6     1     2
 -1.0630447656865665E+00 a        78     0     6     1     3
  2.8328365109802611E+00 a        79     0     6     1     4
  2.4284383572718443E-01 a        80     0     6     1     5
 -2.8295970204342907E-01 a        81     0     6     1     6
 -2.9859469114354655E+00 a        82     0     6     1     7
 -1.1555648983134359E+00 a        83     0     6     1     8
 -1.9484294596380602E+00 a        84     0     6     1     9
 -1.7651923726052103E+00 a        85     0     6     1    10
 -2.3975684425639159E+00 a        86     0     6     1    11
 -1.8430446934940425E+00 a        87     0     6     1    12
  6.6989809239121811E-01 a        88     0     6     1    13
 -2.9819966072547195E+00 a        89     0     6     1    14
 -1.7157555536565556E+00 a        90     0     6     1    15
  1.1358017681029457E-02 a        91     0     7     1     1
 -5.2321604948103473E-01 a        92     0     7     1     2
 -1.6748954685580244E+00 a        93     0     7     1     3
  8.6937707725750757E-01 a        94     0     7     1     4
  8.3688685108322125E-01 a        95     0     7     1     5
 -9.2327833575117257E-01 a        96     0     7     1     6
 -2.7088278105791141E-01 a        97     0     7     1     7
 -1.7223327776699737E-01 a        98     0     7     1     8
 -2.1830540841580637E-02 a        99     0     7     1     9
  4.4977541854044734E-01 a       100     0     7     1    10
 -1.3171896383201513E+00 a       101     0     7     1    11
 -5.2328950582051947E-01 a       102     0     7     1    12
 -1.9511744177575951E-01 a       103     0     7     1    13
  6.3075276502470623E-01 a       104     0     7     1    14
  3.3078363187158316E-01 a       105     0     7     1    15
 -2.3575348737102228E-01 a       106     0     8     1     1
  1.0218296379272653E+00 a       107     0     8     1     2
 -7.6183703205511744E-01 a       108     0     8     1     3
 -2.5649406453534849E+00 a       109     0     8     1     4
  3.9222143339993593E-01 a       110     0     8     1     5
 -7.3573717037638620E-01 a       111     0     8     1     6
  2.7271907904305768E+00 a       112     0     8     1     7
  8.4017218738798888E-02 a       113     0     8     1     8
  2.0441911347982411E+00 a       114     0     8     1     9
  2.5602183080446590E+00 a       115     0     8     1    10
  1.8090911797877731E+00 a       116     0     8     1    11
  3.8278685529784724E+00 a       117     0     8     1    12
  1.5979939578740682E-02 a       118     0     8     1    13
 -1.7663743775459779E+00 a       119     0     8     1    14
  2.1192017570130048E-01 a       120     0     8     1    15
 -5.3178994495655763E-01 a       121     0     9     1     1
  7.9663725076914582E-01 a       122     0     9     1     2
 -1.8932291482303717E-03 a       123     0     9     1     3
  7.2173152329975943E-01 a       124     0     9     1     4
 -1.3086134052435344E-02 a       125     0     9     1     5
 -1.1590012460439358E+00 a       126     0     9     1     6
 -2.2919150416728010E-01 a       127     0     9     1     7
  1.5618340641579312E-01 a       128     0     9     1     8
  7.9920899593283679E-01 a       129     0     9     1     9
 -4.7550101447317811E-01 a       130     0     9     1    10
 -5.9604792377311477E-01 a       131     0     9     1    11
  5.9834127899416778E-01 a       132     0     9     1    12
  6.2886978370124547E-01 a       133     0     9     1    13
 -6.0646189501796510E-01 a       134     0     9     1    14
 -7.6510322830652921E-01 a       135     0     9     1    15
  1.1989609524896501E-02 a       136     0    10     1     1
 -1.9700376057283384E-01 a       137     0    10     1     2
 -5.8550165148735945E-03 a       138     0    10     1     3
  5.5794460135200086E-01 a       139     0    10     1     4
 -7.6363586297590283E-02 a       140     0    10     1     5
  1.2307670463165712E+00 a       141     0    10     1     6
 -3.7961958088484016E-01 a       142     0    10     1     7
  3.4820949803844656E+00 a       143     0    10     1     8
  3.3787048862414948E-01 a       144     0    10     1     9
 -1.8105321519942681E+00 a       145     0    10     1    10
 -2.7224043505014861E+00 a       146     0    10     1    11
 -1.6830859135510161E+00 a       147     0    10     1    12
 -1.0023410528556362E+00 a       148     0    10     1    13
  4.0219260870783051E+00 a       149     0    10     1    14
 -1.4333792361762530E+00 a       150     0    10     1    15
  4.4156019998629011E-02 a       151     0    11     1     1
  8.9299517535728501E-01 a       152     0    11     1     2
  1.8950671119789373E+00 a       153     0    11     1     3
 -3.7935951049330008E-01 a       154     0    11     1     4
  1.6616930140395686E-01 a       155     0    11     1     5
 -1.2789056935495002E+00 a       156     0    11     1     6
 -4.6810206567631624E-01 a       157     0    11     1     7
 -4.6942720595039178E-02 a       158     0    11     1     8
  7.7721860521303787E-01 a       159     0    11     1     9
 -6.1034619903276188E-01 a       160     0    11     1    10
  4.9756321593156061E-01 a       161     0    11     1    11
  3.6934896535583839E-01 a       162     0    11     1    12
 -6.5894527366988931E-01 a       163     0    11     1    13
  1.3622372687395837E-01 a       164     0    11     1    14
 -1.2056590652076697E-01 a       165     0    11     1    15
  1.9703763706159225E+00 a       166     0    12     1     1
  4.5006152051392445E-01 a       167     0    12     1     2
  1.4497982316674740E-01 a       168     0    12     1     3
 -1.7347729310447195E+00 a       169     0    12     1     4
 -8.7182250799951277E-01 a       170     0    12     1     5
  1.8433675448645878E-01 a       171     0    12     1     6
 -1.4924404520296000E+00 a       172     0    12     1     7
 -4.3133772296043977E+00 a       173     0    12     1     8
  1.2205253590546973E-01 a       174     0    12     1     9
 -5.3402503274644852E-01 a       175     0    12     1    10
  1.2648368341914076E+00 a       176     0    12     1    11
  8.4956696164979961E-01 a       177     0    12     1    12
 -1.2936061110474060E+00 a       178     0    12     1    13
 -9.3178349148994055E-01 a       179     0    12     1    14
  1.0219923146473913E+00 a       180     0    12     1    15
 -2.4587446538213614E-01 a       181     0    13     1     1
 -1.9404332977737845E-01 a       182     0    13     1     2
 -6.8264760424983151E-01 a       183     0    13     1     3
  2.0546940914018033E-01 a       184     0    13     1     4
 -3.4764786029440137E-01 a       185     0    13     1     5
  3.5000153897559011E-01 a       186     0    13     1     6
  4.6126785379202628E-01 a       187     0    13     1     7
 -1.6443158210161832E-02 a       188     0    13     1     8
  4.2107516221088465E-01 a       189     0    13     1     9
  3.5111363485462238E-01 a       190     0    13     1    10
 -7.6041806054948624E-01 a       191     0    13     1    11
  5.9375454004148155E-02 a       192     0    13     1    12
 -9.1489772550923248E-03 a       193     0    13     1    13
  4.9744726997334493E-01 a       194     0    13     1    14
  9.5052916698967604E-01 a       195     0    13     1    15
