################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.6501541144654439E-02 a         1     0     1     1     1
 -5.4884733863241975E-01 a         2     0     1     1     2
 -3.8178928941595869E-01 a         3     0     1     1     3
 -2.1039874464211403E-01 a         4     0     1     1     4
  3.5976035542321383E-01 a         5     0     1     1     5
  1.1852409933257320E+00 a         6     0     1     1     6
 -1.0636655849309860E+00 a         7     0     1     1     7
  5.1509726584133897E-01 a         8     0     1     1     8
  3.5717179135001614E-01 a         9     0     1     1     9
 -4.9154257281265579E-01 a        10     0     1     1    10
 -5.6277614065770265E-01 a        11     0     1     1    11
  7.5777389514951443E-02 a        12     0     1     1    12
  9.1374086723734449E-01 a        13     0     1     1    13
 -4.3438770812332933E-01 a        14     0     1     1    14
 -1.0499145978920030E+00 a        15     0     1     1    15
  6.6203850377843543E-01 a        16     0     2     1     1
 -2.9206657908144953E+00 a        17     0     2     1     2
 -1.6405074579146484E+00 a        18     0     2     1     3
  1.6031421392098476E-02 a        19     0     2     1     4
  1.8006748754854078E+00 a        20     0     2     1     5
 -1.7563182406733764E+00 a        21     0     2     1     6
  3.2869803642032616E+00 a        22     0     2     1     7
  2.6514912924731413E+00 a        23     0     2     1     8
 -2.2043596065417832E+00 a        24     0     2     1     9
 -9.1578333938880474E-01 a        25     0     2     1    10
  4.3339941165733835E+00 a        26     0     2     1    11
 -2.8748525521131407E-01 a        27     0     2     1    12
 -3.7367230933170142E-01 a        28     0     2     1    13
 -2.1097098437711859E+00 a        29     0     2     1    14
 -5.0304098254780554E+00 a        30     0     2     1    15
  1.3674036700563844E-01 a        31     0     3     1     1
 -5.5457320439523239E-01 a        32     0     3     1     2
  2.9085919339557273E-02 a        33     0     3     1     3
  2.0129152155747920E-01 a        34     0     3     1     4
  1.3638809093267903E-01 a        35     0     3     1     5
  7.7439352660074945E-01 a        36     0     3     1     6
  7.2845687127612621E-02 a        37     0     3     1     7
  2.4306313518898282E-01 a        38     0     3     1     8
 -5.7041323613506822E-01 a        39     0     3     1     9
  5.2660264343860186E-01 a        40     0     3     1    10
 -5.0956228977483675E-01 a        41     0     3     1    11
  4.0388786810785093E-01 a        42     0     3     1    12
  1.1361017564584437E-01 a        43     0     3     1    13
 -1.7555065582229173E-01 a        44     0     3     1    14
  2.2437898350518251E-01 a        45     0     3     1    15
 -7.4993961005754428E-01 a        46     0     4     1     1
  3.9291851217380755E+00 a        47     0     4     1     2
 -6.8866178701539016E-01 a        48     0     4     1     3
  1.0893274222840097E+00 a        49     0     4     1     4
 -1.1543341331297128E+00 a        50     0     4     1     5
  3.2929254594716042E+00 a        51     0     4     1     6
 -6.9982996994148505E-01 a        52     0     4     1     7
 -2.1916748644862203E+00 a        53     0     4     1     8
  1.7726338459932947E+00 a        54     0     4     1     9
  5.5563663145588271E-01 a        55     0     4     1    10
  1.1435794828510770E+00 a        56     0     4     1    11
  4.0149629947333149E-01 a        57     0     4     1    12
  1.0188492895007881E+00 a        58     0     4     1    13
  1.4699663849338183E+00 a        59     0     4     1    14
  1.9547573142389802E+00 a        60     0     4     1    15
 -7.7188070689732560E-02 a        61     0     5     1     1
  1.2180375182949530E+00 a        62     0     5     1     2
  8.0396695177777966E-01 a        63     0     5     1     3
  9.6194807032398544E-01 a        64     0     5     1     4
 -4.3105881667178003E-01 a        65     0     5     1     5
 -5.5065277540984614E-01 a        66     0     5     1     6
  1.2600001193562853E+00 a        67     0     5     1     7
 -3.0030041508794525E-01 a        68     0     5     1     8
  1.3826036261116567E-01 a        69     0     5     1     9
 -5.6294722964525712E-01 a        70     0     5     1    10
  4.1796093295149417E-01 a        71     0     5     1    11
  1.2198084427628547E-01 a        72     0     5     1    12
  1.1414801390154422E-01 a        73     0     5     1    13
 -4.7659442486199921E-01 a        74     0     5     1    14
  1.0584317947358630E+00 a        75     0     5     1    15
 -1.0882139737425811E+00 a        76     0     6     1     1
  3.2379159351661491E+00 a        77     0     6     1     2
  1.0417646960408999E+00 a        78     0     6     1     3
 -5.9456936653907122E-01 a        79     0     6     1     4
 -2.0911885019124137E+00 a        80     0     6     1     5
  9.8906281832614618E-01 a        81     0     6     1     6
 -2.9626420925798960E+00 a        82     0     6     1     7
 -2.1996810372897180E+00 a        83     0     6     1     8
  4.0601072707858543E-01 a        84     0     6     1     9
  1.7345222699056220E+00 a        85     0     6     1    10
 -2.8090620480014654E+00 a        86     0     6     1    11
  1.2323148381193909E+00 a        87     0     6     1    12
  5.0614047991737909E-01 a        88     0     6     1    13
  1.6663956256299599E+00 a        89     0     6     1    14
  3.8240083554590192E+00 a        90     0     6     1    15
  5.1000836944419231E-02 a        91     0     7     1     1
 -2.9957205809699627E-01 a        92     0     7     1     2
  1.1200901456380064E+00 a        93     0     7     1     3
 -5.5757958216261061E-01 a        94     0     7     1     4
 -3.3399174494132405E-02 a        95     0     7     1     5
 -8.2764277650724805E-01 a        96     0     7     1     6
 -6.8555654588278003E-01 a        97     0     7     1     7
 -1.0690711636406776E+00 a        98     0     7     1     8
  1.5943534226826075E-01 a        99     0     7     1     9
 -1.0678149753162749E+00 a       100     0     7     1    10
  7.5062978199344121E-01 a       101     0     7     1    11
 -6.1513634509751625E-01 a       102     0     7     1    12
 -1.9483412369980392E-02 a       103     0     7     1    13
 -2.5269236861930078E-01 a       104     0     7     1    14
  3.7022165220305728E-02 a       105     0     7     1    15
  1.8016568923785232E+00 a       106     0     8     1     1
 -4.8925612708541699E+00 a       107     0     8     1     2
  2.3669449175681279E+00 a       108     0     8     1     3
 -1.9978987437203579E+00 a       109     0     8     1     4
  8.6107554945192544E-01 a       110     0     8     1     5
 -5.1635300121337044E+00 a       111     0     8     1     6
 -5.0250122130843178E-01 a       112     0     8     1     7
  1.9020983988124391E+00 a       113     0     8     1     8
 -1.1857141439740211E+00 a       114     0     8     1     9
 -2.2544682814752721E+00 a       115     0     8     1    10
  1.7165919388863435E-01 a       116     0     8     1    11
 -2.3172586267900646E+00 a       117     0     8     1    12
 -1.1222747787429426E+00 a       118     0     8     1    13
 -2.1410349082128901E+00 a       119     0     8     1    14
 -2.2306866077596554E+00 a       120     0     8     1    15
  1.2493675659418678E-01 a       121     0     9     1     1
  3.3296727807610138E-01 a       122     0     9     1     2
  2.4860914556878974E-01 a       123     0     9     1     3
 -7.1493861405210302E-01 a       124     0     9     1     4
 -1.0414847764110606E+00 a       125     0     9     1     5
 -5.4982793096127851E-02 a       126     0     9     1     6
 -4.3486078482534796E-01 a       127     0     9     1     7
  3.0707193821714285E-01 a       128     0     9     1     8
  3.8269894616078221E-01 a       129     0     9     1     9
  6.5550174341565039E-03 a       130     0     9     1    10
  1.4767412697383773E+00 a       131     0     9     1    11
 -6.3399485365875219E-01 a       132     0     9     1    12
 -5.7982713376863959E-01 a       133     0     9     1    13
  8.3206065508401172E-01 a       134     0     9     1    14
 -2.0045413367942180E+00 a       135     0     9     1    15
 -2.4023320417450997E+00 a       136     0    10     1     1
  3.7736126019926743E+00 a       137     0    10     1     2
  8.3564214478404319E-01 a       138     0    10     1     3
  2.1597324579219959E+00 a       139     0    10     1     4
 -1.2742461068919990E+00 a       140     0    10     1     5
  3.3837559259595795E+00 a       141     0    10     1     6
  3.8186276656794313E+00 a       142     0    10     1     7
 -1.5706538833779464E+00 a       143     0    10     1     8
  2.2230178946454258E+00 a       144     0    10     1     9
 -3.2717603493188996E+00 a       145     0    10     1    10
  8.4319883441198040E-01 a       146     0    10     1    11
  1.1830369974385686E+00 a       147     0    10     1    12
 -9.3443148414417654E-01 a       148     0    10     1    13
  2.5812599908245204E-01 a       149     0    10     1    14
  2.0309529728724414E+00 a       150     0    10     1    15
  6.4587282546189406E-01 a       151     0    11     1     1
  1.7892702618526539E+00 a       152     0    11     1     2
  6.1811088745077281E-01 a       153     0    11     1     3
 -1.4848590356262208E+00 a       154     0    11     1     4
  4.2102274991411842E-01 a       155     0    11     1     5
 -6.7438227440207932E-01 a       156     0    11     1     6
  3.8473412617555702E-01 a       157     0    11     1     7
 -1.6861176162063315E-01 a       158     0    11     1     8
 -9.2379279738454234E-01 a       159     0    11     1     9
 -6.2023864088163472E-01 a       160     0    11     1    10
  1.1344013806187381E+00 a       161     0    11     1    11
  7.9060799414709193E-01 a       162     0    11     1    12
  2.1101586337271766E-01 a       163     0    11     1    13
 -1.0195824016164274E+00 a       164     0    11     1    14
  1.4169010451714608E+00 a       165     0    11     1    15
 -2.0909246187975378E-01 a       166     0    12     1     1
 -1.6583499490515186E+00 a       167     0    12     1     2
 -3.9651608514413410E+00 a       168     0    12     1     3
 -3.3802815886890436E-01 a       169     0    12     1     4
  1.7744855306953107E+00 a       170     0    12     1     5
 -1.7624259996273746E+00 a       171     0    12     1     6
 -3.8887905894979591E+00 a       172     0    12     1     7
  3.0618398711888095E-01 a       173     0    12     1     8
 -2.1248827540609918E+00 a       174     0    12     1     9
  2.2981872210322916E+00 a       175     0    12     1    10
 -1.9282071462721725E-01 a       176     0    12     1    11
 -2.4948984511641370E-01 a       177     0    12     1    12
  4.0116240423187521E-01 a       178     0    12     1    13
  1.6327480778784216E+00 a       179     0    12     1    14
 -5.7037947779694309E-01 a       180     0    12     1    15
 -2.0061124273596700E-01 a       181     0    13     1     1
 -4.7361392613553588E-01 a       182     0    13     1     2
 -2.2483347533341880E-01 a       183     0    13     1     3
  9.4885542792733890E-01 a       184     0    13     1     4
  4.3328295125374217E-01 a       185     0    13     1     5
  6.3508549271008652E-01 a       186     0    13     1     6
 -4.1115687718821409E-01 a       187     0    13     1     7
  8.8379002824608491E-02 a       188     0    13     1     8
  3.4461167416596084E-01 a       189     0    13     1     9
 -6.2993481277299801E-01 a       190     0    13     1    10
 -1.3557500502680964E+00 a       191     0    13     1    11
 -2.2076018816397686E-01 a       192     0    13     1    12
 -1.7708650701203615E-02 a       193     0    13     1    13
  8.2522348011066127E-01 a       194     0    13     1    14
 -6.4959880208136711E-01 a       195     0    13     1    15
  3.4446661396930928E-01 a       196     0    14     1     1
  7.5734307064331086E-01 a       197     0    14     1     2
  2.0913419299080362E+00 a       198     0    14     1     3
 -2.9427005382172094E-01 a       199     0    14     1     4
  2.8393144165539080E-01 a       200     0    14     1     5
  9.2262343676552094E-01 a       201     0    14     1     6
  5.7738234126234089E-01 a       202     0    14     1     7
 -7.6761789448282269E-02 a       203     0    14     1     8
 -6.3306921935032523E-01 a       204     0    14     1     9
 -1.0204007794338841E+00 a       205     0    14     1    10
 -8.2381643523933645E-01 a       206     0    14     1    11
  3.4336330302785362E-01 a       207     0    14     1    12
 -9.0511408357559031E-01 a       208     0    14     1    13
 -5.5652245270990208E-01 a       209     0    14     1    14
  1.3839276112145863E-02 a       210     0    14     1    15
  7.1469939296031848E-02 a       211     0    15     1     1
  1.7306075942936976E-02 a       212     0    15     1     2
  4.4804810540716541E-02 a       213     0    15     1     3
 -1.7370639124885451E-01 a       214     0    15     1     4
 -6.0584422405348740E-02 a       215     0    15     1     5
 -1.0088783371591199E-01 a       216     0    15     1     6
  5.7787364971082285E-02 a       217     0    15     1     7
  9.7989409623468419E-03 a       218     0    15     1     8
 -1.3936980541387353E-01 a       219     0    15     1     9
  1.9058798038519312E-01 a       220     0    15     1    10
  9.4199310531152200E-02 a       221     0    15     1    11
  6.3592127649807361E-05 a       222     0    15     1    12
 -2.5038156946056511E-01 a       223     0    15     1    13
 -2.8717844592946251E-01 a       224     0    15     1    14
  2.2909762942323633E-01 a       225     0    15     1    15
 -5.9257265101622672E-02 a       226     0    16     1     1
 -1.1996914433563642E-01 a       227     0    16     1     2
 -4.0091972145205601E-01 a       228     0    16     1     3
  2.2819716942900417E-01 a       229     0    16     1     4
  2.3254801706313410E-01 a       230     0    16     1     5
  1.2319491570703858E-01 a       231     0    16     1     6
 -4.4946178643618695E-01 a       232     0    16     1     7
  3.6882858016632818E-02 a       233     0    16     1     8
  1.3274117841646343E-01 a       234     0    16     1     9
  3.2763119691921215E-02 a       235     0    16     1    10
  1.8505442508442349E-01 a       236     0    16     1    11
 -4.7252080216863140E-02 a       237     0    16     1    12
  1.0803907702023455E-01 a       238     0    16     1    13
  1.8665768037912417E-01 a       239     0    16     1    14
 -7.3916087098013020E-02 a       240     0    16     1    15
 -7.9661370956986777E-02 a       241     0    17     1     1
 -7.2967512211660271E-02 a       242     0    17     1     2
 -1.0366948478033786E-01 a       243     0    17     1     3
  2.2789485094243350E-01 a       244     0    17     1     4
 -5.2513406892592840E-01 a       245     0    17     1     5
  1.4934448472357240E-01 a       246     0    17     1     6
 -3.6114435930844141E-01 a       247     0    17     1     7
 -6.5317040810742161E-02 a       248     0    17     1     8
 -5.2683931981290255E-01 a       249     0    17     1     9
 -7.0202401153673533E-01 a       250     0    17     1    10
 -7.0530757694154411E-01 a       251     0    17     1    11
 -2.4121697277471481E-02 a       252     0    17     1    12
 -3.1366483320715247E-02 a       253     0    17     1    13
  1.3990430608312190E-02 a       254     0    17     1    14
  2.7887987285224167E-02 a       255     0    17     1    15
 -6.7590256574177798E-01 a       256     0    18     1     1
  9.1233498660960766E-01 a       257     0    18     1     2
  6.4752690665048607E-01 a       258     0    18     1     3
 -4.8355688549806308E-01 a       259     0    18     1     4
  1.9422657970773072E-01 a       260     0    18     1     5
 -9.7134464921859065E-01 a       261     0    18     1     6
  6.9351337012842162E-01 a       262     0    18     1     7
 -3.0403605948153267E-01 a       263     0    18     1     8
