################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.4992134898835308E-01 a         1     0     1     1     1
 -8.8836014684391285E-01 a         2     0     1     1     2
 -1.3848238463351648E+00 a         3     0     1     1     3
  5.6071629616723195E-01 a         4     0     1     1     4
  1.1866955556848646E+00 a         5     0     1     1     5
  1.5089590791252080E-01 a         6     0     1     1     6
  1.5794527862122774E+00 a         7     0     1     1     7
  1.4683991028383545E-01 a         8     0     1     1     8
 -4.0589470066018601E-01 a         9     0     1     1     9
  6.5249907893053938E-01 a        10     0     1     1    10
 -1.6048836234228972E-01 a        11     0     1     1    11
  9.7156920806819147E-01 a        12     0     1     1    12
  1.6381497852044000E-01 a        13     0     1     1    13
 -6.0041547191605671E-01 a        14     0     1     1    14
 -4.0239907881195643E-02 a        15     0     1     1    15
  4.4146582102954646E-01 a        16     0     2     1     1
 -1.2001168004090703E+00 a        17     0     2     1     2
 -9.9571102337782880E-02 a        18     0     2     1     3
  2.7322480269905486E-01 a        19     0     2     1     4
  1.8320194869824709E+00 a        20     0     2     1     5
 -9.5748359484618384E-01 a        21     0     2     1     6
  5.1744475872201634E-01 a        22     0     2     1     7
  7.6645123076322408E-01 a        23     0     2     1     8
  5.3207838624139103E-01 a        24     0     2     1     9
 -2.8954563673284406E-01 a        25     0     2     1    10
 -2.1595437524817929E-01 a        26     0     2     1    11
  1.5439443369680235E+00 a        27     0     2     1    12
 -8.2900746454144258E-01 a        28     0     2     1    13
  1.3966584785295927E-01 a        29     0     2     1    14
 -2.0086362550550926E-01 a        30     0     2     1    15
 -2.3989558893088830E-01 a        31     0     3     1     1
  9.4054381617824678E-01 a        32     0     3     1     2
 -6.7626913710578251E-01 a        33     0     3     1     3
  1.6289307857387608E-01 a        34     0     3     1     4
 -1.4044078873282221E-03 a        35     0     3     1     5
 -2.9549296165971567E-01 a        36     0     3     1     6
 -2.6433782301568520E-01 a        37     0     3     1     7
 -1.1352849035798254E-01 a        38     0     3     1     8
  5.0497681322550059E-01 a        39     0     3     1     9
 -8.0392336956711530E-01 a        40     0     3     1    10
  2.0335918540301087E-01 a        41     0     3     1    11
 -6.7133247134094731E-01 a        42     0     3     1    12
  9.0000866914482378E-02 a        43     0     3     1    13
 -3.6802202482148227E-01 a        44     0     3     1    14
 -6.9163504652156460E-01 a        45     0     3     1    15
  1.3571036552977407E+00 a        46     0     4     1     1
 -1.0045770723048411E+00 a        47     0     4     1     2
  1.0313886170499775E+00 a        48     0     4     1     3
  1.6879158766307797E-01 a        49     0     4     1     4
  1.8156766295086693E+00 a        50     0     4     1     5
 -5.4222153630638514E-01 a        51     0     4     1     6
  3.5571120222686881E-01 a        52     0     4     1     7
 -2.7654944902590101E-01 a        53     0     4     1     8
  7.0249271043124439E-01 a        54     0     4     1     9
 -1.1164994288751122E+00 a        55     0     4     1    10
 -1.5522756171957868E-02 a        56     0     4     1    11
  6.2272526363882785E-01 a        57     0     4     1    12
 -4.4137659946357816E-01 a        58     0     4     1    13
  4.5583762880882239E-01 a        59     0     4     1    14
 -2.6279491418979328E-01 a        60     0     4     1    15
  2.2983546493765228E-01 a        61     0     5     1     1
  1.6476822553794215E-01 a        62     0     5     1     2
 -1.8425353015060333E-01 a        63     0     5     1     3
 -1.1156665298135229E+00 a        64     0     5     1     4
 -8.7374317490522246E-01 a        65     0     5     1     5
  8.9900295276958742E-01 a        66     0     5     1     6
 -4.6683482770028684E-01 a        67     0     5     1     7
 -5.3379860515644417E-01 a        68     0     5     1     8
  4.5642470840054394E-01 a        69     0     5     1     9
 -2.7943055114795001E-01 a        70     0     5     1    10
  1.4594693960169106E-01 a        71     0     5     1    11
  1.2991819025674525E-01 a        72     0     5     1    12
  5.1397183067687624E-01 a        73     0     5     1    13
 -2.0705239192820232E-01 a        74     0     5     1    14
  9.4211740640597289E-03 a        75     0     5     1    15
  9.0582709086588387E-01 a        76     0     6     1     1
 -6.0999034349003023E-01 a        77     0     6     1     2
  1.0585752584194343E+00 a        78     0     6     1     3
  2.5115908700423316E-02 a        79     0     6     1     4
  1.0922991937851938E+00 a        80     0     6     1     5
  8.6339352690259330E-01 a        81     0     6     1     6
 -3.2984788506209783E-01 a        82     0     6     1     7
  2.7385025655485234E-01 a        83     0     6     1     8
  7.5166629858939138E-01 a        84     0     6     1     9
  5.4310332799522698E-01 a        85     0     6     1    10
  2.6702201443767704E-01 a        86     0     6     1    11
 -4.3195119998350609E-03 a        87     0     6     1    12
 -3.8280911911464305E-01 a        88     0     6     1    13
 -4.0937696819024211E-01 a        89     0     6     1    14
  9.1038957636508167E-01 a        90     0     6     1    15
 -5.6892277396461555E-01 a        91     0     7     1     1
 -4.6584332529176153E-01 a        92     0     7     1     2
  7.8030013907200013E-01 a        93     0     7     1     3
  5.7923322153957491E-01 a        94     0     7     1     4
 -5.1414274628265888E-01 a        95     0     7     1     5
 -9.7077730283379504E-01 a        96     0     7     1     6
 -1.0392024360259475E+00 a        97     0     7     1     7
  6.8138696364542894E-01 a        98     0     7     1     8
  1.7802075830630662E-01 a        99     0     7     1     9
 -1.6993488893179738E+00 a       100     0     7     1    10
 -4.0281841677862990E-01 a       101     0     7     1    11
 -1.6735754640613401E-01 a       102     0     7     1    12
 -9.7743594021441205E-01 a       103     0     7     1    13
  1.2825647614469748E-01 a       104     0     7     1    14
  1.1558017448070106E+00 a       105     0     7     1    15
 -2.8262770164298351E-01 a       106     0     8     1     1
  9.6763801497852231E-01 a       107     0     8     1     2
  2.1373201939448053E-01 a       108     0     8     1     3
 -7.0362072109686968E-01 a       109     0     8     1     4
 -4.3302584413368916E-01 a       110     0     8     1     5
 -3.6642733245116160E-01 a       111     0     8     1     6
 -2.1038867754172519E-01 a       112     0     8     1     7
  3.4656978681975442E-01 a       113     0     8     1     8
  9.6810766849953678E-01 a       114     0     8     1     9
 -3.9416155713841827E-01 a       115     0     8     1    10
  3.1778271025875776E-01 a       116     0     8     1    11
  4.2024643785101490E-01 a       117     0     8     1    12
  5.5589952732883363E-01 a       118     0     8     1    13
  1.6633932899637530E-01 a       119     0     8     1    14
  1.2305521125127408E+00 a       120     0     8     1    15
  1.2203431176060817E+00 a       121     0     9     1     1
 -3.9787639739627106E-01 a       122     0     9     1     2
  1.4007162971510816E+00 a       123     0     9     1     3
 -5.8139278083577528E-01 a       124     0     9     1     4
  1.5596103335951276E-02 a       125     0     9     1     5
  4.2116193969076215E-01 a       126     0     9     1     6
 -1.3670497967572468E+00 a       127     0     9     1     7
 -4.6861566286068551E-02 a       128     0     9     1     8
 -4.2015148525367102E-01 a       129     0     9     1     9
  5.6950844001128964E-01 a       130     0     9     1    10
  1.0922079383042964E+00 a       131     0     9     1    11
 -5.6467458418098326E-01 a       132     0     9     1    12
 -1.3728071857531556E+00 a       133     0     9     1    13
  7.3620129932181833E-01 a       134     0     9     1    14
 -4.3985469401533533E-01 a       135     0     9     1    15
 -4.4370758394193738E-01 a       136     0    10     1     1
  7.5916341190699266E-01 a       137     0    10     1     2
  1.0272548660902063E+00 a       138     0    10     1     3
  7.7589411562907884E-01 a       139     0    10     1     4
 -1.2742858523484768E+00 a       140     0    10     1     5
  3.9565278393505522E-02 a       141     0    10     1     6
 -7.7719950575035668E-01 a       142     0    10     1     7
 -1.2287382836970509E-01 a       143     0    10     1     8
 -5.0031275832134980E-01 a       144     0    10     1     9
 -4.3691033897940706E-01 a       145     0    10     1    10
  8.1237708680048082E-01 a       146     0    10     1    11
 -8.8025514717980557E-01 a       147     0    10     1    12
  1.5870422257480910E+00 a       148     0    10     1    13
  1.1395136458249864E+00 a       149     0    10     1    14
  6.0636512999998049E-01 a       150     0    10     1    15
 -1.0629051096118498E+00 a       151     0    11     1     1
  4.1235138621012613E-01 a       152     0    11     1     2
 -2.1750324516518640E-01 a       153     0    11     1     3
 -5.7983226411679667E-01 a       154     0    11     1     4
 -1.1877053916751288E+00 a       155     0    11     1     5
 -1.4334410198077412E+00 a       156     0    11     1     6
  1.5235561839099718E+00 a       157     0    11     1     7
 -1.4664368951346411E+00 a       158     0    11     1     8
 -4.5103008419109530E-01 a       159     0    11     1     9
  6.0820203462001532E-01 a       160     0    11     1    10
 -4.0039203204538559E-01 a       161     0    11     1    11
  3.2086992457720825E-01 a       162     0    11     1    12
  4.8071948047195151E-01 a       163     0    11     1    13
 -9.3340065201055131E-02 a       164     0    11     1    14
 -4.5316352073052529E-01 a       165     0    11     1    15
 -3.6832132056585237E-01 a       166     0    12     1     1
  6.1075930222898644E-01 a       167     0    12     1     2
  1.0050006873883730E+00 a       168     0    12     1     3
  7.2816463513372828E-02 a       169     0    12     1     4
 -9.0506105206667509E-01 a       170     0    12     1     5
  1.4657492260680427E+00 a       171     0    12     1     6
  4.4274404112279442E-01 a       172     0    12     1     7
  1.3988905848402289E-01 a       173     0    12     1     8
  7.7390866842576433E-01 a       174     0    12     1     9
  1.6245689495529420E-01 a       175     0    12     1    10
  2.6873081824998679E-01 a       176     0    12     1    11
 -7.4578300578932488E-01 a       177     0    12     1    12
 -2.1532302023326047E-01 a       178     0    12     1    13
  5.0698489521467338E-01 a       179     0    12     1    14
  4.3515552220963399E-02 a       180     0    12     1    15
  2.0313758809591390E-01 a       181     0    13     1     1
  5.9882656326348038E-01 a       182     0    13     1     2
  3.0378271411189434E-01 a       183     0    13     1     3
  1.0392523410211409E+00 a       184     0    13     1     4
  5.4501903715861977E-01 a       185     0    13     1     5
 -1.9078022560890576E-01 a       186     0    13     1     6
  1.5892344208127500E+00 a       187     0    13     1     7
  2.0585586831139677E+00 a       188     0    13     1     8
  7.5351594954694900E-01 a       189     0    13     1     9
  3.6712902545631787E-01 a       190     0    13     1    10
 -1.8567079958241237E-01 a       191     0    13     1    11
 -1.3628958957370438E+00 a       192     0    13     1    12
 -6.9172160863216470E-01 a       193     0    13     1    13
 -1.6915679501376437E+00 a       194     0    13     1    14
  1.4907033936425955E+00 a       195     0    13     1    15
  9.6364844350310030E-01 a       196     0    14     1     1
 -1.3188556057483374E+00 a       197     0    14     1     2
  4.0136943295585920E-01 a       198     0    14     1     3
  3.9828323957483058E-01 a       199     0    14     1     4
  1.1331287797385567E+00 a       200     0    14     1     5
 -1.0785717948132090E+00 a       201     0    14     1     6
  1.3679608327446555E+00 a       202     0    14     1     7
 -5.2571272315495639E-02 a       203     0    14     1     8
 -3.7215947883248879E-01 a       204     0    14     1     9
 -1.0233357742796161E-01 a       205     0    14     1    10
 -2.7496486715513113E-01 a       206     0    14     1    11
  5.2404550449572163E-01 a       207     0    14     1    12
 -7.1688714517892749E-01 a       208     0    14     1    13
  6.8168147441078197E-01 a       209     0    14     1    14
 -4.2419428921656654E-01 a       210     0    14     1    15
 -1.9579662482483903E-01 a       211     0    15     1     1
 -6.4238164756371863E-01 a       212     0    15     1     2
  4.7514226146793875E-01 a       213     0    15     1     3
  5.1295925276278541E-02 a       214     0    15     1     4
  9.1599323756981016E-02 a       215     0    15     1     5
  1.1531762449116272E+00 a       216     0    15     1     6
 -1.7792500388162552E-01 a       217     0    15     1     7
 -1.0594614382931007E+00 a       218     0    15     1     8
 -1.4789447907965254E+00 a       219     0    15     1     9
 -1.2497681008170923E-01 a       220     0    15     1    10
 -1.7008705676968883E-01 a       221     0    15     1    11
  1.8346329552868237E+00 a       222     0    15     1    12
  3.3931727780199022E-01 a       223     0    15     1    13
  2.8307245175402675E+00 a       224     0    15     1    14
 -1.1474047513897501E+00 a       225     0    15     1    15
 -2.9943774416683383E-01 a       226     0    16     1     1
  5.8011102464084460E-02 a       227     0    16     1     2
  3.9737576182613610E-03 a       228     0    16     1     3
 -1.7194229972400987E-01 a       229     0    16     1     4
 -4.0018950265397940E-01 a       230     0    16     1     5
  3.0158207505879231E-01 a       231     0    16     1     6
 -3.9456266798764661E-01 a       232     0    16     1     7
  2.1870618117448337E-01 a       233     0    16     1     8
 -3.1564873085657874E-01 a       234     0    16     1     9
  5.3008313373232230E-01 a       235     0    16     1    10
 -3.1717550096660108E-01 a       236     0    16     1    11
  5.1238362462859388E-01 a       237     0    16     1    12
  2.4160233685938629E-01 a       238     0    16     1    13
  3.2498548763002910E-01 a       239     0    16     1    14
  6.1377490276870184E-01 a       240     0    16     1    15
  5.2608858255683544E-01 a       241     0    17     1     1
 -3.8614010129400711E-01 a       242     0    17     1     2
 -4.8197160006826667E-01 a       243     0    17     1     3
 -5.9328613189604629E-01 a       244     0    17     1     4
  2.5938241850602722E-01 a       245     0    17     1     5
  1.3157400956464699E-01 a       246     0    17     1     6
 -1.3017579939196771E+00 a       247     0    17     1     7
  6.6880862216297854E-01 a       248     0    17     1     8
 -9.1368242320944004E-01 a       249     0    17     1     9
  4.0549792443880289E-01 a       250     0    17     1    10
  1.1638947199025546E-01 a       251     0    17     1    11
  2.8776227435969776E-01 a       252     0    17     1    12
 -3.1899246278877830E-01 a       253     0    17     1    13
  2.7786035315262497E-01 a       254     0    17     1    14
  9.7057446459017205E-01 a       255     0    17     1    15
 -9.9038589207634531E-02 a       256     0    18     1     1
 -1.9370162347994152E-01 a       257     0    18     1     2
  6.8940215867875154E-01 a       258     0    18     1     3
 -9.9025219676789362E-03 a       259     0    18     1     4
 -1.9610168974466360E-01 a       260     0    18     1     5
 -1.1203912140296080E+00 a       261     0    18     1     6
 -3.7235445143824986E-01 a       262     0    18     1     7
  9.2269953550523989E-03 a       263     0    18     1     8
 -6.5645368461872566E-01 a       264     0    18     1     9
  4.1698039381996371E-01 a       265     0    18     1    10
 -6.3885158774757866E-02 a       266     0    18     1    11
 -1.4390840223947685E-01 a       267     0    18     1    12
  6.9611462869104046E-01 a       268     0    18     1    13
 -3.3274777843435366E-01 a       269     0    18     1    14
 -7.2275279753937871E-01 a       270     0    18     1    15
 -1.0978813448374343E+00 a       271     0    19     1     1
 -1.0178085348353565E+00 a       272     0    19     1     2
 -1.3141528748336379E-01 a       273     0    19     1     3
  7.2533325694588230E-02 a       274     0    19     1     4
 -4.3524542667320848E-01 a       275     0    19     1     5
 -3.0458775256069809E-01 a       276     0    19     1     6
  3.6199161057226037E-01 a       277     0    19     1     7
 -1.6207672857010622E+00 a       278     0    19     1     8
 -9.7676380753606529E-01 a       279     0    19     1     9
 -3.0110236691759273E-01 a       280     0    19     1    10
  2.1679744663807263E-01 a       281     0    19     1    11
 -1.3658190655007249E-01 a       282     0    19     1    12
  1.4330776196543320E+00 a       283     0    19     1    13
  8.6133004049396489E-01 a       284     0    19     1    14
