################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.2167580357620578E-01 a         1     0     1     1     1
  2.4304153682983634E-01 a         2     0     1     1     2
 -6.3875596589767125E-01 a         3     0     1     1     3
 -8.1010881484113206E-01 a         4     0     1     1     4
  2.1228739496315530E-01 a         5     0     1     1     5
  4.7134320131107634E-03 a         6     0     1     1     6
 -1.3414243955926039E-01 a         7     0     1     1     7
 -4.8274377272920344E-01 a         8     0     1     1     8
 -6.7027506563429107E-01 a         9     0     1     1     9
 -7.0380434311176476E-01 a        10     0     1     1    10
  8.9964797308107647E-01 a        11     0     1     1    11
  1.1763479838237298E-01 a        12     0     1     1    12
  4.1842508445365001E-01 a        13     0     1     1    13
 -1.0253323999674564E-01 a        14     0     1     1    14
 -3.6944944199842067E-01 a        15     0     1     1    15
 -2.0148720740625353E-01 a        16     0     2     1     1
  2.0420951303752236E-01 a        17     0     2     1     2
  3.4788037946327849E-01 a        18     0     2     1     3
  8.5085736014863000E-01 a        19     0     2     1     4
 -2.3221928218227622E-01 a        20     0     2     1     5
  9.7832239104843688E-01 a        21     0     2     1     6
 -1.6578376637903225E+00 a        22     0     2     1     7
 -7.0942650422083486E-01 a        23     0     2     1     8
 -1.3638934612116054E+00 a        24     0     2     1     9
  1.0067551141324229E+00 a        25     0     2     1    10
 -6.1548320366108111E-01 a        26     0     2     1    11
  1.1667505608453277E+00 a        27     0     2     1    12
 -4.3662380768610683E-02 a        28     0     2     1    13
 -7.8336272847212984E-01 a        29     0     2     1    14
 -7.6615546140997004E-01 a        30     0     2     1    15
 -3.3144887515451021E-01 a        31     0     3     1     1
 -6.3651139411233815E-01 a        32     0     3     1     2
 -7.9729011778657308E-02 a        33     0     3     1     3
  9.8759645528128590E-02 a        34     0     3     1     4
  6.0726292622588129E-01 a        35     0     3     1     5
 -1.2013168262651519E-01 a        36     0     3     1     6
 -5.4377537250314856E-01 a        37     0     3     1     7
  5.7820017613745078E-01 a        38     0     3     1     8
  3.1695976527502218E-01 a        39     0     3     1     9
  4.2085521761207323E-01 a        40     0     3     1    10
 -1.0222898278082987E-01 a        41     0     3     1    11
 -9.1132384907516262E-01 a        42     0     3     1    12
 -6.4532974617523475E-01 a        43     0     3     1    13
 -5.7743647193587244E-01 a        44     0     3     1    14
  1.2950067098645254E-01 a        45     0     3     1    15
  2.8126206990962538E-01 a        46     0     4     1     1
  4.1616519326915252E-01 a        47     0     4     1     2
  2.1703544700809711E-02 a        48     0     4     1     3
 -5.2701603573129530E-01 a        49     0     4     1     4
  4.5414896558655044E-03 a        50     0     4     1     5
