################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -8.0308710120348747E-01 a         1     0     1     1     1
 -9.9713970774115879E-01 a         2     0     1     1     2
  4.6891237061402302E-01 a         3     0     1     1     3
 -1.3787477460195785E+00 a         4     0     1     1     4
 -4.8068845910612146E-01 a         5     0     1     1     5
 -9.9560584672938844E-03 a         6     0     1     1     6
 -2.9276069813257499E-01 a         7     0     1     1     7
  6.5611426069555057E-02 a         8     0     1     1     8
  3.0010339577791445E-01 a         9     0     1     1     9
  3.8613707034123107E-01 a        10     0     1     1    10
 -9.8784939884831591E-01 a        11     0     1     1    11
  3.0378737487976820E-01 a        12     0     1     1    12
 -8.2631791635376428E-01 a        13     0     1     1    13
 -6.5365766779199330E-01 a        14     0     1     1    14
  5.8262310972872822E-01 a        15     0     1     1    15
  3.9248727453074304E-02 a        16     0     2     1     1
  3.1091490579426706E-01 a        17     0     2     1     2
  7.5507982912135219E-01 a        18     0     2     1     3
 -2.4189682794048731E-01 a        19     0     2     1     4
  5.9397620567633425E-01 a        20     0     2     1     5
  2.6716580127559911E-02 a        21     0     2     1     6
  8.9373525742380144E-01 a        22     0     2     1     7
  2.3162410552910533E+00 a        23     0     2     1     8
 -4.8860342238652082E-01 a        24     0     2     1     9
  1.2387932528158552E-01 a        25     0     2     1    10
  5.5588880492975146E-01 a        26     0     2     1    11
  9.9884493985931910E-01 a        27     0     2     1    12
  7.9911621588168036E-01 a        28     0     2     1    13
  7.5375384053782224E-01 a        29     0     2     1    14
  1.1839940699379645E+00 a        30     0     2     1    15
  6.4712859048951399E-01 a        31     0     3     1     1
  4.8410891431422393E-01 a        32     0     3     1     2
 -1.7390634932694218E-01 a        33     0     3     1     3
  1.0274789753289103E-01 a        34     0     3     1     4
 -1.8278611428018687E-01 a        35     0     3     1     5
  5.9588587410442573E-01 a        36     0     3     1     6
 -2.4100087177596535E-01 a        37     0     3     1     7
  6.0752046945344425E-02 a        38     0     3     1     8
  3.1791289244768761E-01 a        39     0     3     1     9
  3.9448031611603307E-01 a        40     0     3     1    10
 -4.3305769442750403E-01 a        41     0     3     1    11
  1.2814560021359830E-02 a        42     0     3     1    12
 -1.1594427917227639E+00 a        43     0     3     1    13
  1.0652128548332142E-01 a        44     0     3     1    14
 -1.1220248823704209E+00 a        45     0     3     1    15
  1.4011029155165040E+00 a        46     0     4     1     1
  5.5293272103332847E-01 a        47     0     4     1     2
 -4.1959153666330962E-01 a        48     0     4     1     3
  4.3449917269862116E-02 a        49     0     4     1     4
 -1.2830023831636590E+00 a        50     0     4     1     5
 -3.6215828770328373E-01 a        51     0     4     1     6
  1.0063907206816272E+00 a        52     0     4     1     7
  7.4053029806394921E-01 a        53     0     4     1     8
 -5.0185405035837516E-01 a        54     0     4     1     9
  5.7478284284817760E-01 a        55     0     4     1    10
  1.9596225817790567E+00 a        56     0     4     1    11
  7.2866461909516356E-01 a        57     0     4     1    12
 -8.5650991255721087E-01 a        58     0     4     1    13
 -1.3540398428587547E-01 a        59     0     4     1    14
 -8.1815720590213759E-01 a        60     0     4     1    15
 -8.0257899298078661E-01 a        61     0     5     1     1
  4.4025874094895945E-02 a        62     0     5     1     2
 -8.1782751975288948E-01 a        63     0     5     1     3
 -9.6103825569947093E-02 a        64     0     5     1     4
  4.5221924800921276E-01 a        65     0     5     1     5
 -6.4957317017356386E-01 a        66     0     5     1     6
 -6.8481332329081124E-01 a        67     0     5     1     7
 -1.0588389994265723E+00 a        68     0     5     1     8
 -1.0612535870276263E+00 a        69     0     5     1     9
 -3.9964377886156210E-01 a        70     0     5     1    10
  1.3221070251181064E+00 a        71     0     5     1    11
  4.3522999559563241E-01 a        72     0     5     1    12
 -3.1336310692738817E-01 a        73     0     5     1    13
 -5.7855752772052016E-01 a        74     0     5     1    14
  6.7942925490844153E-01 a        75     0     5     1    15
  1.3098340433993108E+00 a        76     0     6     1     1
  6.4284553253378873E-01 a        77     0     6     1     2
  3.0396365224155281E-01 a        78     0     6     1     3
  3.6781383300985859E-01 a        79     0     6     1     4
 -4.0733997431980368E-01 a        80     0     6     1     5
  5.0228212125790395E-01 a        81     0     6     1     6
 -4.1052925295740739E-01 a        82     0     6     1     7
  1.1138591728112992E+00 a        83     0     6     1     8
  4.9870191481820370E-01 a        84     0     6     1     9
  7.6360049884256387E-01 a        85     0     6     1    10
 -6.1759658419845917E-02 a        86     0     6     1    11
 -5.9284273050904046E-01 a        87     0     6     1    12
  3.3225651090431751E-03 a        88     0     6     1    13
 -4.4862830581945112E-01 a        89     0     6     1    14
  4.1154200822040972E-02 a        90     0     6     1    15
  1.4363270102441800E-01 a        91     0     7     1     1
  6.8049072470562022E-01 a        92     0     7     1     2
 -6.4924388395726423E-02 a        93     0     7     1     3
  1.3161031653668749E+00 a        94     0     7     1     4
  3.4722523429533025E-01 a        95     0     7     1     5
 -4.7773752265389491E-02 a        96     0     7     1     6
 -7.2924039735297624E-02 a        97     0     7     1     7
  4.9893624863764913E-01 a        98     0     7     1     8
  6.5677306507963638E-03 a        99     0     7     1     9
 -1.0299757980723387E+00 a       100     0     7     1    10
  2.4173919750123013E-01 a       101     0     7     1    11
 -2.5985291605705135E-01 a       102     0     7     1    12
  3.8079269090100221E-01 a       103     0     7     1    13
  9.1043243647391803E-01 a       104     0     7     1    14
 -5.9241608127257117E-01 a       105     0     7     1    15
  1.1967189103844018E+00 a       106     0     8     1     1
  3.5925713652078173E-01 a       107     0     8     1     2
  9.2819644785292574E-02 a       108     0     8     1     3
  1.6794261707400188E-01 a       109     0     8     1     4
 -5.6184556224116899E-01 a       110     0     8     1     5
  4.5499572540947686E-01 a       111     0     8     1     6
 -4.8308570513942101E-01 a       112     0     8     1     7
  9.8910943581029442E-01 a       113     0     8     1     8
  5.9831681061002573E-01 a       114     0     8     1     9
  1.2877628978134317E+00 a       115     0     8     1    10
 -4.0204052972583387E-01 a       116     0     8     1    11
 -1.5560586919615977E-02 a       117     0     8     1    12
  2.4473588340902741E-01 a       118     0     8     1    13
  5.1746474016574739E-01 a       119     0     8     1    14
 -1.8598973160886654E+00 a       120     0     8     1    15
  6.1989655742949168E-01 a       121     0     9     1     1
  1.2546823298221987E-01 a       122     0     9     1     2
 -2.1378003632539438E-01 a       123     0     9     1     3
  8.1013278134731681E-01 a       124     0     9     1     4
 -2.3042239696606137E-01 a       125     0     9     1     5
