################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.3752511224429543E-01 a         1     0     1     1     1
 -4.6318182540764419E-01 a         2     0     1     1     2
 -1.4322920938033998E+00 a         3     0     1     1     3
  9.3361816918135176E-01 a         4     0     1     1     4
 -4.5573825818679647E-01 a         5     0     1     1     5
 -8.1604786885026162E-02 a         6     0     1     1     6
  1.6442645319897398E+00 a         7     0     1     1     7
 -8.8255837195908182E-01 a         8     0     1     1     8
 -5.0974627642679715E-01 a         9     0     1     1     9
  3.6836329249407890E-01 a        10     0     1     1    10
  3.9964340530632092E-01 a        11     0     1     1    11
  4.2508273545875441E-01 a        12     0     1     1    12
  5.1074169473799091E-01 a        13     0     1     1    13
  2.4025307586658337E-01 a        14     0     1     1    14
  3.2026883195916978E-01 a        15     0     1     1    15
 -1.1567515474717607E+00 a        16     0     2     1     1
 -1.3447320101560165E+00 a        17     0     2     1     2
  2.5789319516710334E+00 a        18     0     2     1     3
 -2.3928033331659254E-01 a        19     0     2     1     4
 -3.7154877566518962E-01 a        20     0     2     1     5
  1.5129059299609533E+00 a        21     0     2     1     6
 -5.0926522250425377E+00 a        22     0     2     1     7
 -4.2310358714153820E+00 a        23     0     2     1     8
 -5.2729505875383087E-01 a        24     0     2     1     9
  4.0546568333393807E-01 a        25     0     2     1    10
  6.2560755640182075E-01 a        26     0     2     1    11
  3.5622178832001292E-02 a        27     0     2     1    12
  1.5897512077698644E-01 a        28     0     2     1    13
 -3.3239924176823193E-01 a        29     0     2     1    14
  1.2456875927125333E+00 a        30     0     2     1    15
  1.6429921906665473E-01 a        31     0     3     1     1
 -9.8451555883922370E-01 a        32     0     3     1     2
  4.0203034690803474E-01 a        33     0     3     1     3
 -2.3078235670689171E-01 a        34     0     3     1     4
  1.7096706919791413E-01 a        35     0     3     1     5
 -5.2018995842362947E-01 a        36     0     3     1     6
 -9.4347034479053915E-01 a        37     0     3     1     7
  3.4194903988767394E-01 a        38     0     3     1     8
 -1.1766465758742766E+00 a        39     0     3     1     9
 -9.4663391304980558E-03 a        40     0     3     1    10
 -3.1117936334451574E-01 a        41     0     3     1    11
  3.8959222069675192E-01 a        42     0     3     1    12
  5.7992324143852164E-02 a        43     0     3     1    13
 -3.5989118702400075E-01 a        44     0     3     1    14
 -1.0528271768410800E+00 a        45     0     3     1    15
 -1.6278376125860425E-01 a        46     0     4     1     1
  1.1227557778161605E+00 a        47     0     4     1     2
 -1.9373488642867105E+00 a        48     0     4     1     3
  1.5831317383721755E+00 a        49     0     4     1     4
 -1.0787275864236885E+00 a        50     0     4     1     5
  5.0028105604996875E-01 a        51     0     4     1     6
  3.4388098876147843E+00 a        52     0     4     1     7
  3.7165756863552475E+00 a        53     0     4     1     8
 -1.3868399590946638E+00 a        54     0     4     1     9
  9.9298774733877371E-01 a        55     0     4     1    10
 -1.6582340126463901E+00 a        56     0     4     1    11
  8.9777697615307439E-01 a        57     0     4     1    12
 -1.1674430094249892E+00 a        58     0     4     1    13
  1.4485604068085458E+00 a        59     0     4     1    14
  6.0076202360900270E-02 a        60     0     4     1    15
 -1.2330887830007478E+00 a        61     0     5     1     1
  4.2295812021469337E-01 a        62     0     5     1     2
 -5.7117138250846855E-02 a        63     0     5     1     3
 -5.5944465020902878E-01 a        64     0     5     1     4
 -1.0289069832023046E+00 a        65     0     5     1     5
  1.6809190982222291E-01 a        66     0     5     1     6
 -2.0351423552007961E-01 a        67     0     5     1     7
  1.1288203565740569E-02 a        68     0     5     1     8
  1.2541501186009282E-01 a        69     0     5     1     9
  6.0677054323976776E-01 a        70     0     5     1    10
 -1.8795191245247861E-01 a        71     0     5     1    11
 -6.5676820429129124E-01 a        72     0     5     1    12
 -2.5865194693981682E-02 a        73     0     5     1    13
