################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -8.9161571126082018E-01 a         1     0     1     1     1
 -7.0792703374106536E-01 a         2     0     1     1     2
  6.3261597394140445E-01 a         3     0     1     1     3
 -1.6868996849586728E-02 a         4     0     1     1     4
  1.6599941514093410E+00 a         5     0     1     1     5
 -2.8942504427057369E-01 a         6     0     1     1     6
  1.0376866699685412E+00 a         7     0     1     1     7
 -9.8588707270152676E-01 a         8     0     1     1     8
  2.4576179624037545E-01 a         9     0     1     1     9
 -1.2913298335456032E+00 a        10     0     1     1    10
  2.2088365407401894E-01 a        11     0     1     1    11
 -6.3638169406049927E-01 a        12     0     1     1    12
 -7.6180936207245065E-01 a        13     0     1     1    13
 -4.5272439251040665E-02 a        14     0     1     1    14
  1.1718880532930405E+00 a        15     0     1     1    15
 -5.2613885597872313E-02 a        16     0     2     1     1
  2.7464570852177690E-02 a        17     0     2     1     2
 -1.7499433286925579E+00 a        18     0     2     1     3
  6.7373785940103881E-01 a        19     0     2     1     4
  2.4268713191214215E+00 a        20     0     2     1     5
  1.5497269827188296E+00 a        21     0     2     1     6
 -9.0830462333202244E-01 a        22     0     2     1     7
 -3.8750804869496958E+00 a        23     0     2     1     8
 -1.1550902322344236E+00 a        24     0     2     1     9
 -1.1659116527341366E-01 a        25     0     2     1    10
  3.8657304199409235E+00 a        26     0     2     1    11
  2.4220671565065182E+00 a        27     0     2     1    12
 -1.5463826075523166E+00 a        28     0     2     1    13
  1.8714473104382792E+00 a        29     0     2     1    14
  4.1604751151717726E-03 a        30     0     2     1    15
 -2.0180792748818485E-01 a        31     0     3     1     1
 -7.0359981984026232E-01 a        32     0     3     1     2
 -7.9436150302451514E-01 a        33     0     3     1     3
  6.6521027544700773E-01 a        34     0     3     1     4
 -3.4799240365592582E-01 a        35     0     3     1     5
  1.4594456865837802E-01 a        36     0     3     1     6
  1.1472731954467446E+00 a        37     0     3     1     7
 -8.2474319405345076E-01 a        38     0     3     1     8
  8.6232480145032736E-02 a        39     0     3     1     9
 -3.4442081844504369E-01 a        40     0     3     1    10
  2.4200582549688554E-01 a        41     0     3     1    11
  6.0802255870336464E-01 a        42     0     3     1    12
 -1.5940319744421327E-01 a        43     0     3     1    13
  1.4949753647182526E-01 a        44     0     3     1    14
  5.0293381972728324E-01 a        45     0     3     1    15
 -1.2030181409974550E+00 a        46     0     4     1     1
 -1.7969568688230272E-01 a        47     0     4     1     2
  2.7668789738632351E+00 a        48     0     4     1     3
 -1.7229668466877388E+00 a        49     0     4     1     4
  7.3557610270714557E-01 a        50     0     4     1     5
  1.0735928407482629E+00 a        51     0     4     1     6
  6.5320596415045773E-01 a        52     0     4     1     7
  1.1726383919194892E+00 a        53     0     4     1     8
  5.8766899580893339E-01 a        54     0     4     1     9
 -4.8571228430267782E-01 a        55     0     4     1    10
 -2.7867869248363437E+00 a        56     0     4     1    11
 -1.8391339679045369E+00 a        57     0     4     1    12
  7.0956635692176118E-01 a        58     0     4     1    13
 -1.3726368267214173E+00 a        59     0     4     1    14
 -1.3326088389448432E+00 a        60     0     4     1    15
 -1.0907890657734223E+00 a        61     0     5     1     1
  1.9149786836520986E-02 a        62     0     5     1     2
  6.2783918781158388E-01 a        63     0     5     1     3
 -3.7902853968908146E-01 a        64     0     5     1     4
 -3.0396016727841396E-01 a        65     0     5     1     5
  1.7211664111701236E-01 a        66     0     5     1     6
 -4.9841278116801352E-01 a        67     0     5     1     7
  2.3982904310623551E-01 a        68     0     5     1     8
  3.2769325961031620E-01 a        69     0     5     1     9
  3.3722675190894297E-01 a        70     0     5     1    10
 -3.8381515411616018E-01 a        71     0     5     1    11
 -1.1922755037713992E+00 a        72     0     5     1    12
 -1.5168184340912280E-01 a        73     0     5     1    13
 -2.2885200077958043E-01 a        74     0     5     1    14
 -5.0580363190229982E-01 a        75     0     5     1    15
 -8.5512199156999003E-01 a        76     0     6     1     1
  7.5705802139723322E-01 a        77     0     6     1     2
  2.8853748670516661E+00 a        78     0     6     1     3
 -5.7362823986414024E-01 a        79     0     6     1     4
 -2.4075481147161280E+00 a        80     0     6     1     5
 -2.5433295761869239E+00 a        81     0     6     1     6
  7.9074766374492444E-01 a        82     0     6     1     7
  2.9532381970393327E+00 a        83     0     6     1     8
  2.8358937271530134E+00 a        84     0     6     1     9
 -7.0504738900609620E-01 a        85     0     6     1    10
 -2.4946246509181718E+00 a        86     0     6     1    11
 -3.3416877714821127E+00 a        87     0     6     1    12
  7.9835576298371114E-01 a        88     0     6     1    13
 -3.4230384440541148E+00 a        89     0     6     1    14
 -1.6752706893858310E-01 a        90     0     6     1    15
 -6.8795946407804598E-01 a        91     0     7     1     1
 -3.9847244249496760E-01 a        92     0     7     1     2
  8.9070835620386879E-01 a        93     0     7     1     3
  5.5133925525086169E-01 a        94     0     7     1     4
  1.8491427400357130E-01 a        95     0     7     1     5
 -2.6064914128627581E-01 a        96     0     7     1     6
 -5.7748695476803413E-01 a        97     0     7     1     7
 -1.4465272295986809E-01 a        98     0     7     1     8
  4.7413701281098825E-01 a        99     0     7     1     9
 -5.7448341696210592E-01 a       100     0     7     1    10
 -1.1355196823936600E+00 a       101     0     7     1    11
  1.3221659311571382E-01 a       102     0     7     1    12
 -2.2806996647023003E-01 a       103     0     7     1    13
 -2.7053390529136695E-01 a       104     0     7     1    14
 -1.6004461424290273E+00 a       105     0     7     1    15
  1.1902085534907592E+00 a       106     0     8     1     1
  4.4949020460540628E-01 a       107     0     8     1     2
 -4.3857744566197709E+00 a       108     0     8     1     3
  4.4078886027621396E+00 a       109     0     8     1     4
  1.7479763369715373E+00 a       110     0     8     1     5
 -1.6320406546822188E+00 a       111     0     8     1     6
 -2.8582499119419247E-01 a       112     0     8     1     7
  1.2099056842435120E-01 a       113     0     8     1     8
 -1.1670400703033941E+00 a       114     0     8     1     9
 -7.1907138337555021E-01 a       115     0     8     1    10
  3.3810964947450919E+00 a       116     0     8     1    11
  3.7989517207276617E+00 a       117     0     8     1    12
 -7.4148221519499513E-01 a       118     0     8     1    13
  5.2152369589235752E+00 a       119     0     8     1    14
  1.7027589459226631E+00 a       120     0     8     1    15
  7.0317313549828842E-01 a       121     0     9     1     1
  8.1145281334304920E-01 a       122     0     9     1     2
 -1.3094977193614554E-02 a       123     0     9     1     3
  6.6674081620191572E-01 a       124     0     9     1     4
  2.0846186035635467E-01 a       125     0     9     1     5
  7.7465326146279700E-01 a       126     0     9     1     6
 -1.3289436306005836E-01 a       127     0     9     1     7
 -7.4811013714161567E-01 a       128     0     9     1     8
  5.4115514159564587E-02 a       129     0     9     1     9
 -2.7917050984188224E-01 a       130     0     9     1    10
 -2.2256511748764510E-01 a       131     0     9     1    11
  2.0529819670360999E-01 a       132     0     9     1    12
 -6.9387478442600559E-01 a       133     0     9     1    13
  4.3115815518988965E-02 a       134     0     9     1    14
 -7.2125085991975846E-01 a       135     0     9     1    15
 -6.9455396845847339E-01 a       136     0    10     1     1
 -3.4270569100116971E-01 a       137     0    10     1     2
  2.9770901147559998E+00 a       138     0    10     1     3
  7.7127779415414921E-01 a       139     0    10     1     4
 -1.7507937600707553E+00 a       140     0    10     1     5
  2.2320474959467584E+00 a       141     0    10     1     6
  2.8618277945929094E-01 a       142     0    10     1     7
 -1.0256893262754490E+00 a       143     0    10     1     8
 -4.3575832599326197E-01 a       144     0    10     1     9
  1.1803211759895136E+00 a       145     0    10     1    10
 -7.5308453230981509E-01 a       146     0    10     1    11
 -5.4539892531816703E-01 a       147     0    10     1    12
  1.7877340674834701E+00 a       148     0    10     1    13
 -5.6979656518940596E+00 a       149     0    10     1    14
 -8.1014924653337617E-01 a       150     0    10     1    15
  4.1212069916454747E-01 a       151     0    11     1     1
 -8.8317955460299258E-01 a       152     0    11     1     2
  5.7992360868885218E-01 a       153     0    11     1     3
 -6.5499255725160588E-01 a       154     0    11     1     4
  3.0019545573979695E-01 a       155     0    11     1     5
 -6.8986895901135004E-01 a       156     0    11     1     6
  6.9084453302405667E-03 a       157     0    11     1     7
 -1.2261868229756591E-01 a       158     0    11     1     8
  7.4825726668825854E-01 a       159     0    11     1     9
 -1.6965617255417245E-01 a       160     0    11     1    10
  8.6076751852953226E-01 a       161     0    11     1    11
  3.2968481674282304E-02 a       162     0    11     1    12
 -2.1144279016208589E-01 a       163     0    11     1    13
  1.4860462203151707E-02 a       164     0    11     1    14
 -9.0920334402769787E-01 a       165     0    11     1    15
  8.5283286074214604E-01 a       166     0    12     1     1
  3.3615285281992274E-01 a       167     0    12     1     2
