################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.0245569977238689E-01 a         1     0     1     1     1
  3.5193675888822118E-01 a         2     0     1     1     2
 -8.4656050152046747E-01 a         3     0     1     1     3
  3.0698629340026212E-01 a         4     0     1     1     4
 -3.4676747625322818E-01 a         5     0     1     1     5
  4.9502264386677909E-02 a         6     0     1     1     6
 -6.8865916958419870E-02 a         7     0     1     1     7
  1.9153363664611650E-01 a         8     0     1     1     8
  8.2375207380573301E-01 a         9     0     1     1     9
 -3.2706305516014078E-01 a        10     0     1     1    10
 -2.5719066849069433E-01 a        11     0     1     1    11
  8.1789829239842804E-01 a        12     0     1     1    12
  7.8725132893414673E-01 a        13     0     1     1    13
  7.1012109067852691E-01 a        14     0     1     1    14
 -6.4613738757689732E-01 a        15     0     1     1    15
 -5.1593207620522841E-01 a        16     0     2     1     1
  1.4478728504357012E+00 a        17     0     2     1     2
  1.9870642962569174E-01 a        18     0     2     1     3
 -6.3996281097457672E-03 a        19     0     2     1     4
  1.3140661894640879E+00 a        20     0     2     1     5
  1.2601903016267051E+00 a        21     0     2     1     6
  2.8513640086623304E-01 a        22     0     2     1     7
  1.1326652382708873E+00 a        23     0     2     1     8
  4.2330092342839415E-01 a        24     0     2     1     9
 -5.8232108127242799E-01 a        25     0     2     1    10
 -2.7834313566552954E-01 a        26     0     2     1    11
  1.2539957302294884E+00 a        27     0     2     1    12
  9.7463829504994470E-01 a        28     0     2     1    13
 -8.4016745178706875E-01 a        29     0     2     1    14
  7.6733393580752873E-01 a        30     0     2     1    15
  1.5994896947703521E-01 a        31     0     3     1     1
 -1.4000138819245878E-01 a        32     0     3     1     2
  2.8122231670425607E-01 a        33     0     3     1     3
  4.4253692331174238E-01 a        34     0     3     1     4
  1.3373775179584113E-01 a        35     0     3     1     5
  5.9755845603621446E-02 a        36     0     3     1     6
  6.7826554434094732E-01 a        37     0     3     1     7
  5.3683934830410451E-01 a        38     0     3     1     8
 -1.0095809194945389E+00 a        39     0     3     1     9
 -3.6573297536850113E-01 a        40     0     3     1    10
  2.8669495338509882E-01 a        41     0     3     1    11
 -2.4712584347806424E-01 a        42     0     3     1    12
  1.1213294026703780E+00 a        43     0     3     1    13
 -3.3138278941636617E-01 a        44     0     3     1    14
  7.1633923587104620E-01 a        45     0     3     1    15
 -1.1716339716278399E+00 a        46     0     4     1     1
  7.5692258777601784E-01 a        47     0     4     1     2
 -6.4300717799697293E-01 a        48     0     4     1     3
  1.2030954323133576E+00 a        49     0     4     1     4
 -1.1919629753574641E-01 a        50     0     4     1     5
  1.3069245705353625E+00 a        51     0     4     1     6
  2.9396999557603837E-01 a        52     0     4     1     7
  1.4739168858966127E+00 a        53     0     4     1     8
  6.8660801273000227E-01 a        54     0     4     1     9
 -1.3928081830526888E+00 a        55     0     4     1    10
  3.2403429194921424E-01 a        56     0     4     1    11
  1.6367841708954242E-01 a        57     0     4     1    12
  6.1829038256080693E-01 a        58     0     4     1    13
  4.2796142927015023E-02 a        59     0     4     1    14
 -4.7061094467246584E-01 a        60     0     4     1    15
  9.6549766438472640E-01 a        61     0     5     1     1
 -3.1347378182896535E-01 a        62     0     5     1     2
  3.2754351734460851E-01 a        63     0     5     1     3
  6.0368359316206133E-01 a        64     0     5     1     4
 -2.4708204776251513E-01 a        65     0     5     1     5
 -5.8775428655621353E-01 a        66     0     5     1     6
 -6.8605656994652531E-01 a        67     0     5     1     7
 -6.6286704999196211E-01 a        68     0     5     1     8
 -1.9160365738260535E-01 a        69     0     5     1     9
  9.0597514582446514E-01 a        70     0     5     1    10
  3.2083193921187297E-01 a        71     0     5     1    11
 -1.5132414709516694E-02 a        72     0     5     1    12
 -2.7769341713493001E-01 a        73     0     5     1    13
  5.7663520649187401E-02 a        74     0     5     1    14
 -5.5213480984968732E-01 a        75     0     5     1    15
 -8.9934590209138998E-01 a        76     0     6     1     1
 -4.3649226893036447E-01 a        77     0     6     1     2
  8.0905473743560719E-02 a        78     0     6     1     3
  1.1356300038216407E+00 a        79     0     6     1     4
  4.0630015516334317E-01 a        80     0     6     1     5
  2.3074395673084852E-01 a        81     0     6     1     6
  9.4359581066142595E-01 a        82     0     6     1     7
  9.2687215323478245E-01 a        83     0     6     1     8
 -3.4909712379220637E-02 a        84     0     6     1     9
  1.4784074425981811E-01 a        85     0     6     1    10
 -3.4261838512431086E-01 a        86     0     6     1    11
 -8.6154593135781521E-01 a        87     0     6     1    12
 -4.8170239330989773E-01 a        88     0     6     1    13
 -4.8310798499593666E-01 a        89     0     6     1    14
 -2.2627585857077215E-01 a        90     0     6     1    15
  6.5919863437624548E-01 a        91     0     7     1     1
 -4.6857013997037844E-01 a        92     0     7     1     2
  4.1444503254504611E-01 a        93     0     7     1     3
  3.3881563280477833E-01 a        94     0     7     1     4
  2.3198096135808699E-01 a        95     0     7     1     5
  5.8724548901325124E-01 a        96     0     7     1     6
  4.5509124603452583E-01 a        97     0     7     1     7
  8.4099484240958322E-01 a        98     0     7     1     8
 -1.3129841890240703E+00 a        99     0     7     1     9
 -9.4205349095018953E-01 a       100     0     7     1    10
 -6.5269867751586796E-01 a       101     0     7     1    11
  6.6544550116408044E-02 a       102     0     7     1    12
 -1.9948359984992531E-01 a       103     0     7     1    13
  3.4149028281611465E-01 a       104     0     7     1    14
  3.1207265340893009E-01 a       105     0     7     1    15
 -1.8920205028960066E-01 a       106     0     8     1     1
 -1.4334643829325895E-02 a       107     0     8     1     2
  6.5616651813272453E-01 a       108     0     8     1     3
  1.8282122771412876E-01 a       109     0     8     1     4
 -1.1676784186014444E+00 a       110     0     8     1     5
  7.2067626543805563E-01 a       111     0     8     1     6
 -4.1676513935936038E-01 a       112     0     8     1     7
 -3.5641695112008226E-01 a       113     0     8     1     8
 -1.3354324703695191E+00 a       114     0     8     1     9
  5.2009942747343696E-01 a       115     0     8     1    10
  8.1889685348714158E-01 a       116     0     8     1    11
 -2.6232411387922377E-01 a       117     0     8     1    12
 -1.1216084222605724E-01 a       118     0     8     1    13
 -2.8975542063251880E-01 a       119     0     8     1    14
 -1.4779288347020942E+00 a       120     0     8     1    15
 -9.1439352831520315E-01 a       121     0     9     1     1
  1.0246419187914071E+00 a       122     0     9     1     2
  3.3694941992884503E-01 a       123     0     9     1     3
 -6.1020749920926132E-01 a       124     0     9     1     4
 -9.1363913213966669E-02 a       125     0     9     1     5
  9.0716447977415168E-02 a       126     0     9     1     6
 -7.3046448806154129E-02 a       127     0     9     1     7
  2.2506727046669997E-01 a       128     0     9     1     8
  2.9064966235426376E-01 a       129     0     9     1     9
  2.1381024581229480E-01 a       130     0     9     1    10
  1.1491596224018672E+00 a       131     0     9     1    11
 -6.3155783906326216E-02 a       132     0     9     1    12
 -3.7129547134612301E-01 a       133     0     9     1    13
  1.1267830388166004E-01 a       134     0     9     1    14
 -3.7673334705502454E-01 a       135     0     9     1    15
  4.6088964876914162E-01 a       136     0    10     1     1
  8.7989574300540691E-02 a       137     0    10     1     2
  1.0069776063457141E+00 a       138     0    10     1     3
  1.4952469247729008E+00 a       139     0    10     1     4
 -5.5602230405394715E-01 a       140     0    10     1     5
 -1.7824877963725383E-01 a       141     0    10     1     6
  5.6784093948129777E-01 a       142     0    10     1     7
  2.3911054050891632E-02 a       143     0    10     1     8
 -9.0292658234994250E-01 a       144     0    10     1     9
 -3.3686603052264341E-01 a       145     0    10     1    10
  2.6323915323746311E-01 a       146     0    10     1    11
 -4.2400920160769123E-01 a       147     0    10     1    12
  1.6725915486443624E-01 a       148     0    10     1    13
 -1.6124301883914969E+00 a       149     0    10     1    14
 -3.8282240576700327E-01 a       150     0    10     1    15
 -5.0370887285290732E-02 a       151     0    11     1     1
  1.6437181516075847E-01 a       152     0    11     1     2
  2.1939449163280625E-01 a       153     0    11     1     3
 -1.0168997591960915E+00 a       154     0    11     1     4
  3.0340472175460892E-01 a       155     0    11     1     5
  5.4804985517077270E-02 a       156     0    11     1     6
  6.9546926384104513E-01 a       157     0    11     1     7
 -2.5469470254170334E-01 a       158     0    11     1     8
  1.9062996368612262E+00 a       159     0    11     1     9
 -9.8860961182713036E-01 a       160     0    11     1    10
 -3.3375771992359121E-01 a       161     0    11     1    11
 -1.2107254431884305E-01 a       162     0    11     1    12
 -3.0861804849710800E-01 a       163     0    11     1    13
  6.7633534644036958E-02 a       164     0    11     1    14
  4.3130922345607037E-01 a       165     0    11     1    15
  6.8987969960408554E-02 a       166     0    12     1     1
